"beta","X2.5..","X97.5..","pvalue"
"trial_armAZM:visitWeek 72",0.03,-2.69,2.74,0.99
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",9.59,7.7,11.48,0
"trial_armAZM",-0.44,-2.5,1.62,0.68
"visitWeek 48",-1.59,-3.35,0.18,0.08
"visitWeek 72",-1.01,-2.93,0.9,0.3
"cd4enrl_baseline",0,0,0,0.84
"trial_armAZM:visitWeek 48",2.27,-0.22,4.76,0.08
"trial_armAZM:visitWeek 72",0.07,-2.63,2.76,0.96
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",9.69,8.24,11.14,0
"trial_armAZM",-0.6,-2.66,1.46,0.57
"visitWeek 48",-1.59,-3.35,0.18,0.08
"visitWeek 72",-1.01,-2.92,0.91,0.3
"vlenrl_baseline",0,0,0,0.7
"trial_armAZM:visitWeek 48",2.3,-0.19,4.8,0.07
"trial_armAZM:visitWeek 72",0.15,-2.55,2.84,0.91
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",8.89,6.92,10.86,0
"trial_armAZM",-0.41,-2.47,1.64,0.69
"visitWeek 48",-1.59,-3.36,0.17,0.08
"visitWeek 72",-1,-2.91,0.92,0.31
"artdrug1stline_baselineyes",1.1,-0.69,2.88,0.23
"trial_armAZM:visitWeek 48",2.27,-0.22,4.75,0.08
"trial_armAZM:visitWeek 72",0.09,-2.6,2.78,0.95
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",9.95,8.44,11.46,0
"trial_armAZM",-0.4,-2.46,1.65,0.7
"visitWeek 48",-1.59,-3.36,0.17,0.08
"visitWeek 72",-1,-2.91,0.92,0.31
"artdrug2ndline_baselineyes",-0.99,-2.79,0.81,0.28
"trial_armAZM:visitWeek 48",2.27,-0.22,4.76,0.08
"trial_armAZM:visitWeek 72",0.08,-2.61,2.77,0.95
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",8.93,6.94,10.91,0
"trial_armAZM",-0.47,-2.52,1.59,0.66
"visitWeek 48",-1.74,-3.51,0.02,0.05
"visitWeek 72",-1.06,-2.97,0.85,0.28
"artreg_baselineEFV/NVP",1.12,-0.67,2.92,0.22
"trial_armAZM:visitWeek 48",2.41,-0.07,4.9,0.06
"trial_armAZM:visitWeek 72",0.15,-2.53,2.84,0.91
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",9.75,8.3,11.2,0
"trial_armAZM",-0.42,-2.47,1.64,0.69
"visitWeek 48",-1.58,-3.34,0.19,0.08
"visitWeek 72",-1,-2.91,0.92,0.31
"f14adm_baselineyes",-2.08,-8.51,4.35,0.53
"trial_armAZM:visitWeek 48",2.24,-0.25,4.73,0.08
"trial_armAZM:visitWeek 72",0.03,-2.67,2.72,0.99
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",9.84,8.34,11.33,0
"trial_armAZM",-0.37,-2.44,1.7,0.73
"visitWeek 48",-1.58,-3.34,0.18,0.08
"visitWeek 72",-1,-2.91,0.91,0.31
"f16tbtreat_baselineyes",-0.53,-2.28,1.21,0.55
"trial_armAZM:visitWeek 48",2.16,-0.33,4.65,0.09
"trial_armAZM:visitWeek 72",0.11,-2.59,2.8,0.94
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",8.84,6.47,11.22,0
"trial_armAZM",-0.6,-2.69,1.5,0.58
"visitWeek 48",-1.69,-3.48,0.1,0.07
"visitWeek 72",-0.95,-2.89,0.99,0.34
"ageyart_baseline",0.11,-0.1,0.31,0.32
"trial_armAZM:visitWeek 48",2.61,0.09,5.13,0.04
"trial_armAZM:visitWeek 72",0.27,-2.46,2.99,0.85
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",10.97,8.82,13.12,0
"trial_armAZM",-0.61,-2.7,1.48,0.57
"visitWeek 48",-1.69,-3.49,0.1,0.07
"visitWeek 72",-0.96,-2.9,0.98,0.33
"duryart_baseline",-0.19,-0.44,0.06,0.15
"trial_armAZM:visitWeek 48",2.57,0.05,5.1,0.05
"trial_armAZM:visitWeek 72",0.29,-2.44,3.02,0.84
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",9.44,6.66,12.22,0
"trial_armAZM",-0.43,-2.48,1.63,0.68
"visitWeek 48",-1.59,-3.35,0.18,0.08
"visitWeek 72",-1.01,-2.93,0.9,0.3
"cd4gp_baseline200+",0.31,-2.33,2.96,0.82
"trial_armAZM:visitWeek 48",2.27,-0.22,4.76,0.07
"trial_armAZM:visitWeek 72",0.07,-2.63,2.76,0.96
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",10.13,8.11,12.15,0
"trial_armAZM",-0.5,-2.56,1.57,0.64
"visitWeek 48",-1.59,-3.35,0.17,0.08
"visitWeek 72",-1.01,-2.93,0.91,0.3
"agegpsym_baselinea6-<8",-0.49,-5.89,4.91,0.86
"agegpsym_baselineb8-<12",-0.39,-2.8,2.01,0.75
"agegpsym_baselined15-<16",-0.18,-2.89,2.53,0.9
"agegpsym_baselinee16+",-0.67,-2.64,1.31,0.51
"trial_armAZM:visitWeek 48",2.27,-0.22,4.76,0.08
"trial_armAZM:visitWeek 72",0.06,-2.64,2.75,0.97
