"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",2.62,1.27,3.97,0
"trial_armAZM",-0.62,-2.52,1.28,0.52
"visitWeek 48",1.5,-0.44,3.45,0.13
"visitWeek 72",-1.9,-3.98,0.17,0.07
"abnsatAbnormal Sat",4.64,1.19,8.08,0.01
"trial_armAZM:visitWeek 48",-2.68,-5.41,0.05,0.06
"trial_armAZM:visitWeek 72",0.81,-2.1,3.72,0.59
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",2.57,1.13,4.02,0
"trial_armAZM",-0.72,-2.62,1.18,0.46
"visitWeek 48",1.22,-0.7,3.14,0.21
"visitWeek 72",-1.97,-4.03,0.09,0.06
"normalhaz_baseline<-2",0.58,-0.62,1.78,0.34
"trial_armAZM:visitWeek 48",-2.46,-5.17,0.26,0.08
"trial_armAZM:visitWeek 72",0.83,-2.07,3.73,0.58
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",2.76,1.41,4.1,0
"trial_armAZM",-0.65,-2.56,1.25,0.5
"visitWeek 48",1.23,-0.72,3.18,0.22
"visitWeek 72",-2.09,-4.18,0,0.05
"abnhrAbnormal HR",1.71,-0.72,4.13,0.17
"trial_armAZM:visitWeek 48",-2.46,-5.2,0.28,0.08
"trial_armAZM:visitWeek 72",0.89,-2.04,3.82,0.55
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",2.69,1.07,4.31,0
"trial_armAZM",-0.69,-2.59,1.21,0.48
"visitWeek 48",1.22,-0.7,3.14,0.22
"visitWeek 72",-1.98,-4.04,0.09,0.06
"cd4enrl_baseline",0,0,0,0.75
"trial_armAZM:visitWeek 48",-2.45,-5.17,0.26,0.08
"trial_armAZM:visitWeek 72",0.83,-2.08,3.72,0.58
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",2.66,1.32,3.99,0
"trial_armAZM",-0.76,-2.66,1.14,0.43
"visitWeek 48",1.22,-0.71,3.15,0.22
"visitWeek 72",-1.88,-3.95,0.19,0.08
"vlenrl_baseline",0,0,0,0
"trial_armAZM:visitWeek 48",-2.45,-5.18,0.28,0.08
"trial_armAZM:visitWeek 72",0.71,-2.21,3.62,0.63
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",3.21,1.53,4.88,0
"trial_armAZM",-0.68,-2.57,1.22,0.49
"visitWeek 48",1.22,-0.7,3.14,0.22
"visitWeek 72",-1.99,-4.05,0.08,0.06
"artdrug1stline_baselineyes",-0.49,-1.84,0.86,0.48
"trial_armAZM:visitWeek 48",-2.44,-5.16,0.27,0.08
"trial_armAZM:visitWeek 72",0.81,-2.1,3.7,0.59
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",2.71,1.33,4.08,0
"trial_armAZM",-0.68,-2.58,1.21,0.48
"visitWeek 48",1.22,-0.7,3.14,0.22
"visitWeek 72",-1.99,-4.05,0.08,0.06
"artdrug2ndline_baselineyes",0.55,-0.81,1.92,0.43
"trial_armAZM:visitWeek 48",-2.44,-5.16,0.27,0.08
"trial_armAZM:visitWeek 72",0.81,-2.1,3.7,0.59
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",3.21,1.53,4.9,0
"trial_armAZM",-0.68,-2.58,1.23,0.49
"visitWeek 48",1.24,-0.69,3.17,0.21
"visitWeek 72",-1.98,-4.05,0.09,0.06
"artreg_baselineEFV/NVP",-0.5,-1.86,0.86,0.47
"trial_armAZM:visitWeek 48",-2.47,-5.19,0.25,0.08
"trial_armAZM:visitWeek 72",0.8,-2.11,3.71,0.59
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",2.88,1.43,4.33,0
"trial_armAZM",-0.65,-2.56,1.26,0.51
"visitWeek 48",1.21,-0.71,3.14,0.22
"visitWeek 72",-1.98,-4.04,0.09,0.06
"vlenrlsup_baseline>=1000 copies",-0.09,-1.3,1.12,0.89
"trial_armAZM:visitWeek 48",-2.47,-5.19,0.26,0.08
"trial_armAZM:visitWeek 72",0.8,-2.11,3.71,0.59
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",2.85,1.51,4.19,0
"trial_armAZM",-0.67,-2.57,1.23,0.49
"visitWeek 48",1.22,-0.7,3.14,0.21
"visitWeek 72",-1.96,-4.02,0.1,0.06
"f14adm_baselineyes",-0.76,-5.87,4.36,0.77
"trial_armAZM:visitWeek 48",-2.46,-5.18,0.25,0.08
"trial_armAZM:visitWeek 72",0.8,-2.11,3.7,0.59
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",2.71,1.34,4.08,0
"trial_armAZM",-0.74,-2.64,1.17,0.45
"visitWeek 48",1.21,-0.72,3.13,0.22
"visitWeek 72",-1.99,-4.06,0.08,0.06
"f16tbtreat_baselineyes",0.59,-0.73,1.9,0.38
"trial_armAZM:visitWeek 48",-2.44,-5.16,0.29,0.08
"trial_armAZM:visitWeek 72",0.81,-2.1,3.72,0.59
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",3.05,1.05,5.05,0
"trial_armAZM",-0.72,-2.68,1.23,0.47
"visitWeek 48",1.27,-0.71,3.25,0.21
"visitWeek 72",-2.04,-4.16,0.09,0.06
"ageyart_baseline",-0.01,-0.17,0.14,0.85
"trial_armAZM:visitWeek 48",-2.52,-5.31,0.26,0.08
"trial_armAZM:visitWeek 72",0.86,-2.12,3.83,0.57
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",2.93,1.09,4.76,0
"trial_armAZM",-0.7,-2.65,1.26,0.49
"visitWeek 48",1.27,-0.71,3.25,0.21
"visitWeek 72",-2.03,-4.15,0.09,0.06
"duryart_baseline",0,-0.2,0.19,0.99
"trial_armAZM:visitWeek 48",-2.53,-5.33,0.26,0.08
"trial_armAZM:visitWeek 72",0.85,-2.14,3.84,0.58
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",2.68,0.44,4.93,0.02
"trial_armAZM",-0.67,-2.57,1.23,0.49
"visitWeek 48",1.21,-0.71,3.14,0.22
"visitWeek 72",-1.97,-4.03,0.09,0.06
"cd4gp_baseline200+",0.17,-1.84,2.19,0.87
"trial_armAZM:visitWeek 48",-2.45,-5.16,0.27,0.08
"trial_armAZM:visitWeek 72",0.82,-2.08,3.72,0.58
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",3.02,1.3,4.74,0
"trial_armAZM",-0.7,-2.61,1.21,0.47
"visitWeek 48",1.21,-0.71,3.13,0.22
"visitWeek 72",-1.99,-4.04,0.08,0.06
"agegpsym_baselinea6-<8",-1.1,-5.21,3.02,0.6
"agegpsym_baselineb8-<12",-0.1,-1.93,1.73,0.92
"agegpsym_baselined15-<16",-0.62,-2.7,1.46,0.56
"agegpsym_baselinee16+",-0.12,-1.62,1.39,0.88
"trial_armAZM:visitWeek 48",-2.42,-5.14,0.29,0.08
"trial_armAZM:visitWeek 72",0.85,-2.06,3.74,0.57
