"beta","X2.5..","X97.5..","pvalue"
"visitWeek 48",-1.23,-3.15,0.68,0.21
"visitWeek 72",-1.15,-3.19,0.89,0.27
"cd4enrl_baseline",0,0,0,0.75
"trial_armPlacebo:visitWeek 48",2.45,-0.26,5.17,0.08
"trial_armPlacebo:visitWeek 72",-0.83,-3.72,2.08,0.58
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",1.9,0.53,3.26,0.01
"trial_armPlacebo",0.76,-1.14,2.66,0.43
"visitWeek 48",-1.23,-3.16,0.7,0.21
"visitWeek 72",-1.17,-3.22,0.88,0.26
"vlenrl_baseline",0,0,0,0
"trial_armPlacebo:visitWeek 48",2.45,-0.28,5.18,0.08
"trial_armPlacebo:visitWeek 72",-0.71,-3.62,2.21,0.63
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",2.53,0.85,4.2,0
"trial_armPlacebo",0.68,-1.22,2.57,0.49
"visitWeek 48",-1.22,-3.14,0.69,0.21
"visitWeek 72",-1.18,-3.22,0.86,0.26
"artdrug1stline_baselineyes",-0.49,-1.84,0.86,0.48
"trial_armPlacebo:visitWeek 48",2.44,-0.27,5.16,0.08
"trial_armPlacebo:visitWeek 72",-0.81,-3.7,2.1,0.59
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",2.02,0.63,3.42,0
"trial_armPlacebo",0.68,-1.21,2.58,0.48
"visitWeek 48",-1.22,-3.14,0.69,0.21
"visitWeek 72",-1.18,-3.23,0.86,0.26
"artdrug2ndline_baselineyes",0.55,-0.81,1.92,0.43
"trial_armPlacebo:visitWeek 48",2.44,-0.27,5.16,0.08
"trial_armPlacebo:visitWeek 72",-0.81,-3.7,2.1,0.59
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",2.54,0.86,4.22,0
"trial_armPlacebo",0.68,-1.23,2.58,0.49
"visitWeek 48",-1.22,-3.14,0.69,0.21
"visitWeek 72",-1.18,-3.22,0.86,0.26
"artreg_baselineEFV/NVP",-0.5,-1.86,0.86,0.47
"trial_armPlacebo:visitWeek 48",2.47,-0.25,5.19,0.08
"trial_armPlacebo:visitWeek 72",-0.8,-3.71,2.11,0.59
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",2.23,0.78,3.68,0
"trial_armPlacebo",0.65,-1.26,2.56,0.51
"visitWeek 48",-1.25,-3.18,0.67,0.2
"visitWeek 72",-1.17,-3.22,0.87,0.26
"vlenrlsup_baseline>=1000 copies",-0.09,-1.3,1.12,0.89
"trial_armPlacebo:visitWeek 48",2.47,-0.26,5.19,0.08
"trial_armPlacebo:visitWeek 72",-0.8,-3.71,2.11,0.59
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",2.18,0.83,3.53,0
"trial_armPlacebo",0.67,-1.23,2.57,0.49
"visitWeek 48",-1.24,-3.16,0.68,0.21
"visitWeek 72",-1.16,-3.21,0.88,0.27
"f14adm_baselineyes",-0.76,-5.87,4.36,0.77
"trial_armPlacebo:visitWeek 48",2.46,-0.25,5.18,0.08
"trial_armPlacebo:visitWeek 72",-0.8,-3.7,2.11,0.59
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",1.97,0.54,3.4,0.01
"trial_armPlacebo",0.74,-1.17,2.64,0.45
"visitWeek 48",-1.23,-3.15,0.7,0.21
"visitWeek 72",-1.18,-3.23,0.87,0.26
"f16tbtreat_baselineyes",0.59,-0.73,1.9,0.38
"trial_armPlacebo:visitWeek 48",2.44,-0.29,5.16,0.08
"trial_armPlacebo:visitWeek 72",-0.81,-3.72,2.1,0.59
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",2.33,0.43,4.23,0.02
"trial_armPlacebo",0.72,-1.23,2.68,0.47
"visitWeek 48",-1.25,-3.21,0.71,0.21
"visitWeek 72",-1.18,-3.27,0.91,0.27
"ageyart_baseline",-0.01,-0.17,0.14,0.85
"trial_armPlacebo:visitWeek 48",2.52,-0.26,5.31,0.08
"trial_armPlacebo:visitWeek 72",-0.86,-3.83,2.12,0.57
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",2.23,0.37,4.09,0.02
"trial_armPlacebo",0.7,-1.26,2.65,0.49
"visitWeek 48",-1.26,-3.23,0.7,0.21
"visitWeek 72",-1.18,-3.28,0.92,0.27
"duryart_baseline",0,-0.2,0.19,0.99
"trial_armPlacebo:visitWeek 48",2.53,-0.26,5.33,0.08
"trial_armPlacebo:visitWeek 72",-0.85,-3.84,2.14,0.58
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",2.01,-0.25,4.27,0.08
"trial_armPlacebo",0.67,-1.23,2.57,0.49
"visitWeek 48",-1.23,-3.15,0.68,0.21
"visitWeek 72",-1.15,-3.19,0.89,0.27
"cd4gp_baseline200+",0.17,-1.84,2.19,0.87
"trial_armPlacebo:visitWeek 48",2.45,-0.27,5.16,0.08
"trial_armPlacebo:visitWeek 72",-0.82,-3.72,2.08,0.58
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",2.32,0.68,3.96,0.01
"trial_armPlacebo",0.7,-1.21,2.61,0.47
"visitWeek 48",-1.22,-3.13,0.7,0.22
"visitWeek 72",-1.14,-3.18,0.9,0.27
"agegpsym_baselinea6-<8",-1.1,-5.21,3.02,0.6
"agegpsym_baselineb8-<12",-0.1,-1.93,1.73,0.92
"agegpsym_baselined15-<16",-0.62,-2.7,1.46,0.56
"agegpsym_baselinee16+",-0.12,-1.62,1.39,0.88
"trial_armPlacebo:visitWeek 48",2.42,-0.29,5.14,0.08
"trial_armPlacebo:visitWeek 72",-0.85,-3.74,2.06,0.57
