"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",15.92,13.98,17.86,0
"trial_armAZM",-0.36,-2.85,2.13,0.78
"visitWeek 48",-0.58,-2.94,1.78,0.63
"visitWeek 72",-0.94,-3.49,1.61,0.47
"sexmale",0.13,-1.58,1.85,0.88
"trial_armAZM:visitWeek 48",4.51,1.18,7.85,0.01
"trial_armAZM:visitWeek 72",0.94,-2.65,4.52,0.61
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",15.5,13.65,17.36,0
"trial_armAZM",-0.39,-2.88,2.09,0.76
"visitWeek 48",-0.59,-2.95,1.77,0.63
"visitWeek 72",-1.14,-3.7,1.43,0.39
"colmonthgp_mal2Nov-Apr-Rainy",1.16,-0.34,2.66,0.13
"trial_armAZM:visitWeek 48",4.57,1.24,7.91,0.01
"trial_armAZM:visitWeek 72",0.98,-2.61,4.57,0.59
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",15.6,13.69,17.5,0
"trial_armAZM",-0.42,-2.9,2.07,0.74
"visitWeek 48",-0.55,-2.91,1.8,0.65
"visitWeek 72",-0.91,-3.46,1.64,0.49
"f24mrcscore_baseline2",0.74,-1.1,2.58,0.43
"f24mrcscore_baseline3",1.17,-2.47,4.8,0.53
"f24mrcscore_baseline4",1.64,-3.66,6.93,0.55
"f24mrcscore_baseline5",5.53,-7.02,18.08,0.39
"trial_armAZM:visitWeek 48",4.48,1.15,7.82,0.01
"trial_armAZM:visitWeek 72",0.93,-2.65,4.51,0.61
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",18.16,15.59,20.74,0
"trial_armAZM",-0.34,-2.77,2.08,0.78
"visitWeek 48",-0.67,-3,1.66,0.57
"visitWeek 72",-1.52,-4.01,0.98,0.24
"fev1z",1.09,0.12,2.05,0.03
"trial_armAZM:visitWeek 48",4.53,1.26,7.81,0.01
"trial_armAZM:visitWeek 72",1.33,-2.19,4.85,0.46
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",17.47,14.22,20.71,0
"trial_armAZM",-0.52,-2.98,1.94,0.68
"visitWeek 48",-0.5,-2.86,1.87,0.68
"visitWeek 72",-1.19,-3.74,1.36,0.36
"FVC",-0.77,-2.11,0.58,0.26
"trial_armAZM:visitWeek 48",4.81,1.51,8.12,0
"trial_armAZM:visitWeek 72",1.37,-2.2,4.93,0.45
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",17.52,15.24,19.79,0
"trial_armAZM",-0.37,-2.82,2.08,0.77
"visitWeek 48",-0.65,-3,1.71,0.59
"visitWeek 72",-1.34,-3.87,1.2,0.3
"FVCZ",0.94,0.09,1.8,0.03
"trial_armAZM:visitWeek 48",4.69,1.39,7.99,0.01
"trial_armAZM:visitWeek 72",1.29,-2.27,4.84,0.48
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",16.01,14.19,17.82,0
"trial_armAZM",-0.41,-2.87,2.04,0.74
"visitWeek 48",-0.6,-2.96,1.75,0.62
"visitWeek 72",-1.36,-3.9,1.18,0.3
"FEV1FVCZ",0.16,-0.58,0.9,0.67
"trial_armAZM:visitWeek 48",4.76,1.46,8.07,0.01
"trial_armAZM:visitWeek 72",1.34,-2.22,4.9,0.46
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",9.91,4.23,15.58,0
"trial_armAZM",-0.38,-2.83,2.07,0.76
"visitWeek 48",-0.65,-3,1.7,0.59
"visitWeek 72",-1.34,-3.87,1.19,0.3
"FVCpcpred",0.08,0.01,0.15,0.03
"trial_armAZM:visitWeek 48",4.69,1.4,7.99,0.01
"trial_armAZM:visitWeek 72",1.29,-2.26,4.85,0.48
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",10.04,4.56,15.51,0
"trial_armAZM",-0.34,-2.77,2.08,0.78
"visitWeek 48",-0.67,-3,1.66,0.57
"visitWeek 72",-1.52,-4.01,0.98,0.24
"FEVpcpred",0.08,0.01,0.15,0.03
"trial_armAZM:visitWeek 48",4.53,1.26,7.81,0.01
"trial_armAZM:visitWeek 72",1.34,-2.19,4.86,0.46
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",16.21,14.37,18.06,0
"trial_armAZM",-0.3,-2.75,2.14,0.81
"visitWeek 48",-0.43,-2.76,1.89,0.72
"visitWeek 72",-1.49,-3.99,1.01,0.24
"zbmiuk",0.23,-0.48,0.95,0.52
"trial_armAZM:visitWeek 48",4.43,1.16,7.7,0.01
"trial_armAZM:visitWeek 72",1.45,-2.06,4.96,0.42
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",15.75,13.65,17.86,0
"trial_armAZM",-0.37,-2.81,2.07,0.77
"visitWeek 48",-0.42,-2.74,1.91,0.73
"visitWeek 72",-1.54,-4.03,0.96,0.23
"zwauk",-0.11,-0.7,0.48,0.71
"trial_armAZM:visitWeek 48",4.43,1.16,7.71,0.01
"trial_armAZM:visitWeek 72",1.51,-2.01,5.02,0.4
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",14.64,12.36,16.92,0
"trial_armAZM",-0.43,-2.87,2,0.73
"visitWeek 48",-0.3,-2.63,2.03,0.8
"visitWeek 72",-1.41,-3.91,1.09,0.27
"zhauk",-0.66,-1.39,0.08,0.08
"trial_armAZM:visitWeek 48",4.41,1.14,7.68,0.01
"trial_armAZM:visitWeek 72",1.51,-2,5.02,0.4
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",14.68,12.52,16.84,0
"trial_armAZM",-0.54,-2.85,1.77,0.65
"visitWeek 48",-0.46,-2.65,1.73,0.68
"cd4",0,0,0,0.08
"trial_armAZM:visitWeek 48",4.49,1.4,7.59,0
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",15.95,14.11,17.79,0
"trial_armAZM",-0.36,-2.97,2.26,0.79
"visitWeek 48",-0.67,-3.22,1.88,0.61
"visitWeek 72",6.59,1.42,11.74,0.01
"vload",0,0,0,0.74
"trial_armAZM:visitWeek 48",4.65,1.05,8.25,0.01
"trial_armAZM:visitWeek 72",-4.57,-11.63,2.48,0.21
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",15.92,13.99,17.84,0
"trial_armAZM",-0.29,-2.78,2.21,0.82
"visitWeek 48",-0.58,-2.94,1.79,0.63
"visitWeek 72",-0.93,-3.48,1.62,0.48
"vlenrlsup_baseline>=1000 copies",0.15,-1.59,1.88,0.87
"trial_armAZM:visitWeek 48",4.53,1.18,7.88,0.01
"trial_armAZM:visitWeek 72",0.88,-2.71,4.48,0.63
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",15.77,13.83,17.7,0
"trial_armAZM",-0.4,-2.88,2.09,0.76
"visitWeek 48",-0.58,-2.94,1.78,0.63
"visitWeek 72",-0.95,-3.5,1.6,0.46
"normalwaz_baseline<-2",0.45,-1.27,2.18,0.61
"trial_armAZM:visitWeek 48",4.51,1.18,7.85,0.01
"trial_armAZM:visitWeek 72",0.95,-2.63,4.54,0.6
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",15.58,13.66,17.5,0
"trial_armAZM",-0.43,-2.92,2.05,0.73
"visitWeek 48",-0.57,-2.94,1.79,0.64
"visitWeek 72",-0.94,-3.49,1.61,0.47
"normalhaz_baseline<-2",0.89,-0.83,2.61,0.31
"trial_armAZM:visitWeek 48",4.51,1.18,7.85,0.01
"trial_armAZM:visitWeek 72",0.94,-2.64,4.53,0.61
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",16.22,14.42,18.02,0
"trial_armAZM",-0.46,-2.95,2.03,0.72
"visitWeek 48",-0.56,-2.92,1.8,0.65
"visitWeek 72",-0.9,-3.45,1.65,0.49
"acut_exac12myes",-1.41,-3.9,1.09,0.27
"trial_armAZM:visitWeek 48",4.49,1.16,7.83,0.01
"trial_armAZM:visitWeek 72",0.9,-2.68,4.49,0.62
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",15.62,13.87,17.38,0
"trial_armAZM",-0.09,-2.57,2.39,0.94
"visitWeek 48",-0.49,-2.85,1.87,0.68
"visitWeek 72",-0.9,-3.45,1.65,0.49
"hospitalised12myes",7.57,2.3,12.85,0.01
"trial_armAZM:visitWeek 48",4.44,1.1,7.77,0.01
"trial_armAZM:visitWeek 72",0.93,-2.65,4.51,0.61
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",16.07,14.31,17.83,0
"trial_armAZM",-0.39,-2.87,2.1,0.76
"visitWeek 48",-0.57,-2.93,1.79,0.64
"visitWeek 72",-0.92,-3.47,1.63,0.48
"antibiotic12myes",-2.07,-6.66,2.51,0.38
"trial_armAZM:visitWeek 48",4.5,1.17,7.84,0.01
"trial_armAZM:visitWeek 72",0.95,-2.64,4.53,0.61
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",16.12,14.29,17.94,0
"trial_armAZM",-0.42,-2.92,2.08,0.74
"visitWeek 48",-0.57,-2.94,1.79,0.64
"visitWeek 72",-0.92,-3.47,1.63,0.48
"any3_reasons.1yes",-0.59,-2.89,1.72,0.62
"trial_armAZM:visitWeek 48",4.51,1.18,7.85,0.01
"trial_armAZM:visitWeek 72",0.92,-2.66,4.51,0.61
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",15.56,12.45,18.68,0
"trial_armAZM",-0.38,-2.87,2.12,0.77
"visitWeek 48",-0.58,-2.94,1.78,0.63
"visitWeek 72",-0.93,-3.48,1.62,0.48
"f11cotri_baselineyes",0.47,-2.41,3.36,0.75
"trial_armAZM:visitWeek 48",4.52,1.18,7.87,0.01
"trial_armAZM:visitWeek 72",0.99,-2.6,4.59,0.59
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",15.28,13.18,17.38,0
"trial_armAZM",-0.5,-2.98,1.98,0.7
"visitWeek 48",-0.59,-2.95,1.77,0.62
"visitWeek 72",-1.04,-3.59,1.51,0.42
"agegpenrl_baselinea6-9y",2.4,-0.85,5.64,0.15
"agegpenrl_baselineb10-12y",3.01,0.5,5.52,0.02
"agegpenrl_baselinec13-16y",0.03,-2.02,2.07,0.98
"trial_armAZM:visitWeek 48",4.54,1.22,7.89,0.01
"trial_armAZM:visitWeek 72",1.06,-2.52,4.65,0.56
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",17.16,13.98,20.35,0
"trial_armAZM",-0.06,-2.6,2.48,0.96
"visitWeek 48",-0.37,-2.8,2.05,0.76
"visitWeek 72",-0.88,-3.48,1.73,0.51
"duryartgp_baselineb2-<4y",-2.72,-6.25,0.82,0.13
"duryartgp_baselinec4y-<6y",-1.59,-4.97,1.78,0.36
"duryartgp_baselined6y+",-0.91,-3.98,2.15,0.56
"trial_armAZM:visitWeek 48",4.12,0.71,7.53,0.02
"trial_armAZM:visitWeek 72",0.77,-2.9,4.44,0.68
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",16.35,14.48,18.22,0
"trial_armAZM",-0.43,-2.85,1.98,0.73
"visitWeek 48",-0.82,-3.12,1.49,0.49
"visitWeek 72",-1.52,-3.99,0.96,0.23
"abnrrAbnormal RR",-0.72,-2.29,0.86,0.37
"trial_armAZM:visitWeek 48",4.83,1.59,8.07,0
"trial_armAZM:visitWeek 72",1.5,-1.97,4.98,0.4
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",15.98,14.27,17.69,0
"trial_armAZM",-0.35,-2.76,2.06,0.78
"visitWeek 48",-0.77,-3.08,1.53,0.51
"visitWeek 72",-1.52,-3.99,0.95,0.23
"abnsatAbnormal Sat",0.25,-4.03,4.54,0.91
"trial_armAZM:visitWeek 48",4.78,1.54,8.02,0
"trial_armAZM:visitWeek 72",1.48,-1.99,4.95,0.41
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",16.05,14.35,17.76,0
"trial_armAZM",-0.37,-2.78,2.04,0.76
"visitWeek 48",-0.72,-3.02,1.59,0.54
"visitWeek 72",-1.42,-3.9,1.06,0.26
"abnhrAbnormal HR",-1.31,-4.39,1.78,0.41
"trial_armAZM:visitWeek 48",4.73,1.49,7.97,0
"trial_armAZM:visitWeek 72",1.42,-2.06,4.89,0.43
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",15.17,12.98,17.37,0
"trial_armAZM",-0.45,-2.94,2.04,0.73
"visitWeek 48",-0.57,-2.93,1.79,0.64
"visitWeek 72",-0.96,-3.51,1.59,0.46
"cd4enrl_baseline",0,0,0,0.23
"trial_armAZM:visitWeek 48",4.49,1.16,7.83,0.01
"trial_armAZM:visitWeek 72",0.95,-2.63,4.53,0.6
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",16.06,14.3,17.82,0
"trial_armAZM",-0.25,-2.74,2.25,0.85
"visitWeek 48",-0.58,-2.94,1.79,0.63
"visitWeek 72",-0.96,-3.51,1.59,0.46
"vlenrl_baseline",0,0,0,0.37
"trial_armAZM:visitWeek 48",4.52,1.17,7.87,0.01
"trial_armAZM:visitWeek 72",0.91,-2.68,4.5,0.62
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",16.31,14.03,18.59,0
"trial_armAZM",-0.36,-2.85,2.12,0.78
"visitWeek 48",-0.58,-2.94,1.79,0.63
"visitWeek 72",-0.95,-3.5,1.6,0.47
"artdrug1stline_baselineyes",-0.43,-2.38,1.52,0.66
"trial_armAZM:visitWeek 48",4.52,1.19,7.86,0.01
"trial_armAZM:visitWeek 72",0.92,-2.66,4.51,0.61
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",15.79,13.98,17.6,0
"trial_armAZM",-0.37,-2.86,2.11,0.77
"visitWeek 48",-0.57,-2.94,1.79,0.64
"visitWeek 72",-0.96,-3.51,1.59,0.46
"artdrug2ndline_baselineyes",0.8,-1.16,2.76,0.43
"trial_armAZM:visitWeek 48",4.52,1.19,7.86,0.01
"trial_armAZM:visitWeek 72",0.92,-2.67,4.5,0.62
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",16.4,14.11,18.69,0
"trial_armAZM",-0.39,-2.89,2.1,0.76
"visitWeek 48",-0.54,-2.91,1.83,0.66
"visitWeek 72",-0.97,-3.52,1.59,0.46
"artreg_baselineEFV/NVP",-0.51,-2.46,1.45,0.61
"trial_armAZM:visitWeek 48",4.49,1.15,7.84,0.01
"trial_armAZM:visitWeek 72",0.94,-2.65,4.54,0.61
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",15.99,14.24,17.74,0
"trial_armAZM",-0.35,-2.84,2.13,0.78
"visitWeek 48",-0.57,-2.94,1.79,0.63
"visitWeek 72",-0.93,-3.48,1.62,0.47
"f14adm_baselineyes",-0.36,-7.56,6.84,0.92
"trial_armAZM:visitWeek 48",4.51,1.18,7.85,0.01
"trial_armAZM:visitWeek 72",0.93,-2.66,4.52,0.61
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",16.18,14.38,17.99,0
"trial_armAZM",-0.27,-2.78,2.23,0.83
"visitWeek 48",-0.57,-2.94,1.8,0.64
"visitWeek 72",-0.91,-3.46,1.64,0.49
"f16tbtreat_baselineyes",-0.88,-2.78,1.02,0.36
"trial_armAZM:visitWeek 48",4.48,1.14,7.83,0.01
"trial_armAZM:visitWeek 72",0.96,-2.63,4.56,0.6
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",18.89,16.19,21.6,0
"trial_armAZM",-0.45,-2.98,2.08,0.73
"visitWeek 48",-0.41,-2.83,2.01,0.74
"visitWeek 72",-0.95,-3.56,1.65,0.48
"ageyart_baseline",-0.33,-0.55,-0.1,0
"trial_armAZM:visitWeek 48",4.17,0.77,7.59,0.02
"trial_armAZM:visitWeek 72",0.69,-2.97,4.35,0.71
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",14.57,12.09,17.05,0
"trial_armAZM",-0.18,-2.71,2.36,0.89
"visitWeek 48",-0.38,-2.8,2.04,0.76
"visitWeek 72",-0.89,-3.5,1.72,0.5
"duryart_baseline",0.22,-0.06,0.49,0.12
"trial_armAZM:visitWeek 48",4.14,0.73,7.55,0.02
"trial_armAZM:visitWeek 72",0.75,-2.91,4.42,0.69
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",16.12,12.99,19.25,0
"trial_armAZM",-0.35,-2.84,2.13,0.78
"visitWeek 48",-0.58,-2.94,1.78,0.63
"visitWeek 72",-0.94,-3.48,1.61,0.47
"cd4gp_baseline200+",-0.15,-3.04,2.75,0.92
"trial_armAZM:visitWeek 48",4.52,1.19,7.86,0.01
"trial_armAZM:visitWeek 72",0.93,-2.65,4.52,0.61
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",15.91,13.59,18.24,0
"trial_armAZM",-0.52,-3.01,1.97,0.68
"visitWeek 48",-0.58,-2.94,1.78,0.63
"visitWeek 72",-1.01,-3.56,1.53,0.44
"agegpsym_baselinea6-<8",0.47,-5.39,6.33,0.88
"agegpsym_baselineb8-<12",2.28,-0.32,4.89,0.09
"agegpsym_baselined15-<16",-0.31,-3.26,2.64,0.84
"agegpsym_baselinee16+",-0.54,-2.68,1.6,0.62
"trial_armAZM:visitWeek 48",4.53,1.2,7.87,0.01
"trial_armAZM:visitWeek 72",1.04,-2.54,4.63,0.57
