"beta","X2.5..","X97.5..","pvalue"
"trial_armAZM",1.81,-1.48,5.1,0.28
"visitWeek 48",-0.46,-3.35,2.43,0.76
"visitWeek 72",-2.5,-8.54,3.56,0.42
"vload",0,0,0,0.07
"trial_armAZM:visitWeek 48",1.34,-2.74,5.41,0.52
"trial_armAZM:visitWeek 72",7.08,-1.21,15.34,0.09
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",18.96,16.52,21.4,0
"trial_armAZM",1.03,-2.33,4.39,0.55
"visitWeek 48",-0.43,-3.4,2.55,0.78
"visitWeek 72",2.42,-0.8,5.66,0.14
"acut_exac12myes",-5.32,-8.96,-1.68,0
"trial_armAZM:visitWeek 48",1.44,-2.76,5.64,0.5
"trial_armAZM:visitWeek 72",1.95,-2.61,6.48,0.4
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",18.31,15.91,20.71,0
"trial_armAZM",1.23,-2.15,4.61,0.48
"visitWeek 48",-0.55,-3.52,2.43,0.72
"visitWeek 72",2.27,-0.95,5.5,0.17
"hospitalised12myes",-5.22,-12.98,2.55,0.19
"trial_armAZM:visitWeek 48",1.59,-2.61,5.79,0.46
"trial_armAZM:visitWeek 72",2.08,-2.47,6.61,0.37
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",18.17,15.78,20.57,0
"trial_armAZM",1.38,-2,4.75,0.43
"visitWeek 48",-0.49,-3.46,2.49,0.75
"visitWeek 72",2.31,-0.92,5.54,0.16
"antibiotic12myes",-2.64,-9.4,4.12,0.45
"trial_armAZM:visitWeek 48",1.53,-2.67,5.72,0.48
"trial_armAZM:visitWeek 72",2.09,-2.46,6.62,0.37
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",18.91,16.43,21.39,0
"trial_armAZM",0.99,-2.39,4.37,0.57
"visitWeek 48",-0.46,-3.44,2.52,0.76
"visitWeek 72",2.38,-0.85,5.61,0.15
"any3_reasons.1yes",-3.8,-7.16,-0.43,0.03
"trial_armAZM:visitWeek 48",1.49,-2.71,5.69,0.49
"trial_armAZM:visitWeek 72",2.01,-2.55,6.54,0.39
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",19.58,15.08,24.06,0
"trial_armAZM",1.65,-1.74,5.04,0.34
"visitWeek 48",-0.5,-3.47,2.48,0.74
"visitWeek 72",2.26,-0.96,5.5,0.17
"f11cotri_baselineyes",-1.69,-5.95,2.57,0.44
"trial_armAZM:visitWeek 48",1.44,-2.77,5.65,0.5
"trial_armAZM:visitWeek 72",1.87,-2.7,6.41,0.42
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",18.22,15.27,21.17,0
"trial_armAZM",1.43,-1.96,4.82,0.41
"visitWeek 48",-0.47,-3.45,2.5,0.76
"visitWeek 72",2.32,-0.9,5.55,0.16
"agegpenrl_baselinea6-9y",3.07,-1.74,7.87,0.21
"agegpenrl_baselineb10-12y",-1.76,-5.49,1.96,0.36
"agegpenrl_baselinec13-16y",-0.27,-3.3,2.76,0.86
"trial_armAZM:visitWeek 48",1.5,-2.7,5.69,0.48
"trial_armAZM:visitWeek 72",2.05,-2.51,6.57,0.38
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",14.32,9.8,18.84,0
"trial_armAZM",1.21,-2.2,4.63,0.49
"visitWeek 48",-0.36,-3.38,2.67,0.82
"visitWeek 72",2.26,-1,5.53,0.18
"duryartgp_baselineb2-<4y",6.06,0.93,11.19,0.02
"duryartgp_baselinec4y-<6y",3.13,-1.78,8.04,0.21
"duryartgp_baselined6y+",4.23,-0.22,8.68,0.06
"trial_armAZM:visitWeek 48",1.51,-2.75,5.76,0.49
"trial_armAZM:visitWeek 72",2.62,-2,7.2,0.27
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",18.33,15.71,20.94,0
"trial_armAZM",1.35,-2.03,4.73,0.44
"visitWeek 48",-0.41,-3.43,2.61,0.79
"visitWeek 72",2.62,-0.63,5.88,0.12
"abnrrAbnormal RR",-0.49,-2.68,1.7,0.66
"trial_armAZM:visitWeek 48",1.41,-2.83,5.65,0.52
"trial_armAZM:visitWeek 72",1.88,-2.7,6.44,0.42
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",18.22,15.83,20.61,0
"trial_armAZM",1.37,-2.01,4.74,0.43
"visitWeek 48",-0.5,-3.53,2.52,0.75
"visitWeek 72",2.57,-0.68,5.83,0.12
"abnsatAbnormal Sat",-2.89,-8.67,2.89,0.33
"trial_armAZM:visitWeek 48",1.47,-2.77,5.71,0.5
"trial_armAZM:visitWeek 72",1.89,-2.69,6.45,0.42
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",19.09,16.44,21.73,0
"trial_armAZM",1.42,-1.97,4.8,0.41
"visitWeek 48",-0.51,-3.49,2.47,0.74
"visitWeek 72",2.23,-1,5.47,0.18
"vlenrlsup_baseline>=1000 copies",-2.2,-4.74,0.34,0.09
"trial_armAZM:visitWeek 48",1.43,-2.78,5.64,0.51
"trial_armAZM:visitWeek 72",2.07,-2.49,6.62,0.37
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",18.23,15.59,20.88,0
"trial_armAZM",1.45,-1.94,4.83,0.4
"visitWeek 48",-0.5,-3.47,2.48,0.74
"visitWeek 72",2.29,-0.93,5.52,0.17
"normalhaz_baseline<-2",-0.36,-2.89,2.16,0.78
"trial_armAZM:visitWeek 48",1.55,-2.65,5.74,0.47
"trial_armAZM:visitWeek 72",2.08,-2.47,6.61,0.37
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",18.31,15.94,20.69,0
"trial_armAZM",1.35,-2.01,4.71,0.43
"visitWeek 48",-0.14,-3.17,2.89,0.93
"visitWeek 72",3.01,-0.26,6.29,0.07
"abnhrAbnormal HR",-4.88,-9.14,-0.63,0.02
"trial_armAZM:visitWeek 48",1.15,-3.1,5.39,0.6
"trial_armAZM:visitWeek 72",1.59,-3,6.17,0.5
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",17.31,14.24,20.39,0
"trial_armAZM",1.33,-2.05,4.71,0.44
"visitWeek 48",-0.49,-3.47,2.48,0.75
"visitWeek 72",2.28,-0.95,5.51,0.17
"cd4enrl_baseline",0,0,0,0.45
"trial_armAZM:visitWeek 48",1.52,-2.68,5.72,0.48
"trial_armAZM:visitWeek 72",2.09,-2.47,6.62,0.37
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",18.35,15.97,20.73,0
"trial_armAZM",1.71,-1.66,5.09,0.32
"visitWeek 48",-0.5,-3.47,2.48,0.74
"visitWeek 72",2.23,-1,5.46,0.18
"vlenrl_baseline",0,0,0,0.02
"trial_armAZM:visitWeek 48",1.42,-2.8,5.63,0.51
"trial_armAZM:visitWeek 72",2.03,-2.53,6.57,0.38
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",17.26,14.06,20.46,0
"trial_armAZM",1.43,-1.95,4.8,0.41
"visitWeek 48",-0.5,-3.48,2.47,0.74
"visitWeek 72",2.31,-0.92,5.54,0.16
"artdrug1stline_baselineyes",1.07,-1.8,3.94,0.46
"trial_armAZM:visitWeek 48",1.54,-2.66,5.73,0.47
"trial_armAZM:visitWeek 72",2.1,-2.45,6.63,0.37
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",18.21,15.73,20.68,0
"trial_armAZM",1.43,-1.95,4.81,0.41
"visitWeek 48",-0.5,-3.48,2.47,0.74
"visitWeek 72",2.3,-0.92,5.53,0.16
"artdrug2ndline_baselineyes",-0.6,-3.49,2.3,0.69
"trial_armAZM:visitWeek 48",1.54,-2.66,5.74,0.47
"trial_armAZM:visitWeek 72",2.09,-2.46,6.62,0.37
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",17.45,14.23,20.68,0
"trial_armAZM",1.33,-2.05,4.71,0.44
"visitWeek 48",-0.54,-3.53,2.45,0.72
"visitWeek 72",2.24,-0.99,5.48,0.18
"artreg_baselineEFV/NVP",0.95,-1.93,3.83,0.52
"trial_armAZM:visitWeek 48",1.58,-2.63,5.78,0.46
"trial_armAZM:visitWeek 72",2.16,-2.4,6.7,0.35
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",18.16,15.78,20.54,0
"trial_armAZM",1.44,-1.93,4.81,0.4
"visitWeek 48",-0.47,-3.44,2.51,0.76
"visitWeek 72",2.35,-0.88,5.58,0.16
"f14adm_baselineyes",-6.48,-16.84,3.89,0.22
"trial_armAZM:visitWeek 48",1.45,-2.75,5.65,0.5
"trial_armAZM:visitWeek 72",1.94,-2.62,6.48,0.4
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",18.83,16.38,21.28,0
"trial_armAZM",1.84,-1.54,5.23,0.29
"visitWeek 48",-0.46,-3.44,2.52,0.76
"visitWeek 72",2.38,-0.85,5.61,0.15
"f16tbtreat_baselineyes",-3.4,-6.17,-0.62,0.02
"trial_armAZM:visitWeek 48",1.56,-2.66,5.76,0.47
"trial_armAZM:visitWeek 72",2,-2.56,6.55,0.39
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",19.87,16.03,23.71,0
"trial_armAZM",1.39,-2.05,4.83,0.43
"visitWeek 48",-0.37,-3.41,2.68,0.81
"visitWeek 72",2.26,-1.04,5.56,0.18
"ageyart_baseline",-0.19,-0.52,0.14,0.26
"trial_armAZM:visitWeek 48",1.3,-2.99,5.58,0.55
"trial_armAZM:visitWeek 72",2.23,-2.41,6.85,0.35
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",16.85,13.37,20.33,0
"trial_armAZM",1.31,-2.12,4.73,0.46
"visitWeek 48",-0.37,-3.39,2.66,0.81
"visitWeek 72",2.27,-1,5.55,0.18
"duryart_baseline",0.21,-0.2,0.61,0.32
"trial_armAZM:visitWeek 48",1.51,-2.75,5.76,0.49
"trial_armAZM:visitWeek 72",2.66,-1.96,7.26,0.26
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",14.89,10.41,19.37,0
"trial_armAZM",1.39,-1.98,4.76,0.42
"visitWeek 48",-0.5,-3.47,2.48,0.74
"visitWeek 72",2.28,-0.95,5.51,0.17
"cd4gp_baseline200+",3.53,-0.7,7.76,0.1
"trial_armAZM:visitWeek 48",1.54,-2.66,5.74,0.47
"trial_armAZM:visitWeek 72",2.07,-2.48,6.6,0.37
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",17.77,14.51,21.03,0
"trial_armAZM",1.52,-1.85,4.9,0.38
"visitWeek 48",-0.46,-3.43,2.52,0.76
"visitWeek 72",2.38,-0.84,5.62,0.15
"agegpsym_baselinea6-<8",10.88,2.3,19.46,0.01
"agegpsym_baselineb8-<12",-0.95,-4.77,2.87,0.63
"agegpsym_baselined15-<16",1.16,-3.15,5.47,0.6
"agegpsym_baselinee16+",0.07,-3.06,3.2,0.97
"trial_armAZM:visitWeek 48",1.44,-2.77,5.63,0.5
"trial_armAZM:visitWeek 72",1.87,-2.7,6.39,0.42
