"beta","X2.5..","X97.5..","pvalue"
"trial_armAZM:visitWeek 72",-5.27,-11.96,1.42,0.12
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",25.38,21.25,29.51,0
"trial_armAZM",-0.38,-5.98,5.22,0.89
"visitWeek 48",2.64,-1.74,7.02,0.24
"visitWeek 72",1.04,-3.76,5.84,0.67
"colmonthgp_mal2Nov-Apr-Rainy",0.69,-2.25,3.63,0.65
"trial_armAZM:visitWeek 48",-10.34,-16.52,-4.17,0
"trial_armAZM:visitWeek 72",-5,-11.7,1.71,0.15
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",25.82,21.41,30.23,0
"trial_armAZM",-0.5,-6.09,5.08,0.86
"visitWeek 48",2.67,-1.7,7.06,0.23
"visitWeek 72",1.44,-3.32,6.21,0.55
"f24mrcscore_baseline2",-1.32,-6.17,3.52,0.6
"f24mrcscore_baseline3",2.04,-7.4,11.47,0.67
"f24mrcscore_baseline4",3.98,-9.54,17.49,0.57
"f24mrcscore_baseline5",30.26,-1.64,62.16,0.07
"trial_armAZM:visitWeek 48",-10.4,-16.57,-4.23,0
"trial_armAZM:visitWeek 72",-5.32,-12.01,1.39,0.12
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",13.59,7.61,19.61,0
"trial_armAZM",-0.42,-5.87,5.03,0.88
"visitWeek 48",2.69,-1.81,7.18,0.24
"visitWeek 72",2,-2.85,6.86,0.42
"fev1z",-6.06,-8.35,-3.75,0
"trial_armAZM:visitWeek 48",-9.72,-16.03,-3.41,0
"trial_armAZM:visitWeek 72",-5.81,-12.64,1.03,0.1
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",29.12,20.89,37.33,0
"trial_armAZM",-0.6,-6.28,5.08,0.84
"visitWeek 48",2.79,-1.72,7.3,0.23
"visitWeek 72",1.13,-3.8,6.06,0.65
"FVC",-1.58,-5.09,1.94,0.38
"trial_armAZM:visitWeek 48",-10.48,-16.75,-4.21,0
"trial_armAZM:visitWeek 72",-4.85,-11.67,1.98,0.17
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",20.38,15.07,25.7,0
"trial_armAZM",-0.48,-6.09,5.12,0.87
"visitWeek 48",2.66,-1.83,7.15,0.25
"visitWeek 72",0.85,-4.03,5.72,0.73
"FVCZ",-3.2,-5.26,-1.13,0
"trial_armAZM:visitWeek 48",-10.27,-16.55,-3.99,0
"trial_armAZM:visitWeek 72",-4.89,-11.71,1.95,0.16
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",23.7,19.54,27.86,0
"trial_armAZM",-0.2,-5.79,5.39,0.95
"visitWeek 48",2.25,-2.25,6.75,0.33
"visitWeek 72",1.03,-3.86,5.92,0.68
"FEV1FVCZ",-2.99,-4.78,-1.19,0
"trial_armAZM:visitWeek 48",-10.25,-16.54,-3.96,0
"trial_armAZM:visitWeek 72",-5.32,-12.17,1.53,0.13
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",46.26,32.67,59.79,0
"trial_armAZM",-0.46,-6.06,5.14,0.87
"visitWeek 48",2.67,-1.82,7.15,0.25
"visitWeek 72",0.85,-4.03,5.73,0.73
"FVCpcpred",-0.26,-0.43,-0.09,0
"trial_armAZM:visitWeek 48",-10.27,-16.55,-3.99,0
"trial_armAZM:visitWeek 72",-4.9,-11.74,1.93,0.16
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",58.5,45.46,71.45,0
"trial_armAZM",-0.44,-5.89,5.01,0.88
"visitWeek 48",2.68,-1.82,7.18,0.24
"visitWeek 72",2,-2.85,6.86,0.42
"FEVpcpred",-0.45,-0.61,-0.28,0
"trial_armAZM:visitWeek 48",-9.72,-16.03,-3.41,0
"trial_armAZM:visitWeek 72",-5.82,-12.66,1.02,0.1
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",25.29,20.96,29.6,0
"trial_armAZM",-0.51,-6.13,5.11,0.86
"visitWeek 48",2.36,-2.08,6.79,0.3
"visitWeek 72",1.42,-3.38,6.23,0.56
"zbmiuk",-0.45,-2.26,1.34,0.62
"trial_armAZM:visitWeek 48",-10.13,-16.36,-3.91,0
"trial_armAZM:visitWeek 72",-5.45,-12.19,1.3,0.11
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",25.81,20.77,30.85,0
"trial_armAZM",-0.41,-6.02,5.2,0.89
"visitWeek 48",2.35,-2.09,6.79,0.3
"visitWeek 72",1.49,-3.32,6.29,0.55
"zwauk",0.04,-1.48,1.55,0.96
"trial_armAZM:visitWeek 48",-10.15,-16.38,-3.92,0
"trial_armAZM:visitWeek 72",-5.52,-12.26,1.23,0.11
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",27.21,21.65,32.77,0
"trial_armAZM",-0.32,-5.93,5.29,0.91
"visitWeek 48",2.23,-2.22,6.68,0.33
"visitWeek 72",1.35,-3.46,6.17,0.58
"zhauk",0.73,-1.19,2.64,0.46
"trial_armAZM:visitWeek 48",-10.14,-16.38,-3.92,0
"trial_armAZM:visitWeek 72",-5.54,-12.28,1.21,0.11
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",30.5,25.13,35.87,0
"trial_armAZM",0.16,-5.46,5.78,0.96
"visitWeek 48",2.45,-1.89,6.78,0.27
"cd4",-0.01,-0.01,0,0.01
"trial_armAZM:visitWeek 48",-10.29,-16.4,-4.18,0
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",25.4,21.43,29.37,0
"trial_armAZM",-0.29,-5.93,5.35,0.92
"visitWeek 48",2.64,-1.75,7.02,0.24
"visitWeek 72",-1.98,-11.33,7.37,0.68
"vload",0,0,0,0.12
"trial_armAZM:visitWeek 48",-10.51,-16.7,-4.33,0
"trial_armAZM:visitWeek 72",-0.13,-12.92,12.68,0.98
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",24.38,20.29,28.46,0
"trial_armAZM",0.18,-5.42,5.78,0.95
"visitWeek 48",2.51,-1.86,6.88,0.26
"visitWeek 72",1.23,-3.53,5.99,0.61
"acut_exac12myes",7.93,1.29,14.58,0.02
"trial_armAZM:visitWeek 48",-10.22,-16.38,-4.06,0
"trial_armAZM:visitWeek 72",-5.13,-11.81,1.56,0.13
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",25.63,21.62,29.63,0
"trial_armAZM",-0.35,-5.97,5.28,0.9
"visitWeek 48",2.6,-1.77,6.97,0.25
"visitWeek 72",1.36,-3.4,6.12,0.58
"hospitalised12myes",2.04,-11.91,16,0.77
"trial_armAZM:visitWeek 48",-10.32,-16.49,-4.16,0
"trial_armAZM:visitWeek 72",-5.24,-11.93,1.45,0.13
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",25.62,21.64,29.6,0
"trial_armAZM",-0.38,-5.99,5.22,0.89
"visitWeek 48",2.58,-1.79,6.95,0.25
"visitWeek 72",1.34,-3.42,6.1,0.58
"antibiotic12myes",2.4,-9.87,14.68,0.7
"trial_armAZM:visitWeek 48",-10.3,-16.46,-4.14,0
"trial_armAZM:visitWeek 72",-5.25,-11.93,1.45,0.13
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",24.13,19.98,28.29,0
"trial_armAZM",0.39,-5.23,6.01,0.89
"visitWeek 48",2.54,-1.83,6.91,0.26
"visitWeek 72",1.25,-3.51,6.01,0.61
"any3_reasons.1yes",7.15,1.05,13.24,0.02
"trial_armAZM:visitWeek 48",-10.25,-16.42,-4.1,0
"trial_armAZM:visitWeek 72",-5.16,-11.85,1.53,0.13
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",20.08,12.12,28.05,0
"trial_armAZM",-0.5,-6.12,5.12,0.86
"visitWeek 48",2.58,-1.79,6.96,0.25
"visitWeek 72",1.43,-3.34,6.2,0.56
"f11cotri_baselineyes",6.3,-1.43,14.03,0.11
"trial_armAZM:visitWeek 48",-10.22,-16.4,-4.04,0
"trial_armAZM:visitWeek 72",-5.19,-11.9,1.53,0.13
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",27.04,21.98,32.09,0
"trial_armAZM",-0.16,-5.79,5.47,0.96
"visitWeek 48",2.59,-1.78,6.96,0.25
"visitWeek 72",1.43,-3.32,6.2,0.56
"agegpenrl_baselinea6-9y",-7.29,-15.97,1.38,0.1
"agegpenrl_baselineb10-12y",-3.6,-10.34,3.13,0.3
"agegpenrl_baselinec13-16y",-0.32,-5.78,5.14,0.91
"trial_armAZM:visitWeek 48",-10.3,-16.47,-4.15,0
"trial_armAZM:visitWeek 72",-5.32,-12,1.37,0.12
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",29.51,21.63,37.39,0
"trial_armAZM",-0.43,-6.03,5.17,0.88
"visitWeek 48",2.34,-2.05,6.73,0.3
"visitWeek 72",0.98,-3.79,5.75,0.69
"duryartgp_baselineb2-<4y",-6.91,-16.04,2.22,0.14
"duryartgp_baselinec4y-<6y",-1.75,-10.5,7,0.7
"duryartgp_baselined6y+",-4.63,-12.55,3.29,0.26
"trial_armAZM:visitWeek 48",-10.29,-16.46,-4.12,0
"trial_armAZM:visitWeek 72",-5.68,-12.37,1.04,0.1
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",24.69,20.38,29,0
"trial_armAZM",-0.15,-5.75,5.45,0.96
"visitWeek 48",2.86,-1.57,7.3,0.21
"visitWeek 72",1.24,-3.55,6.04,0.61
"abnrrAbnormal RR",1.95,-1.56,5.46,0.28
"trial_armAZM:visitWeek 48",-10.68,-16.9,-4.46,0
"trial_armAZM:visitWeek 72",-5.31,-12.04,1.42,0.12
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",25.5,21.54,29.46,0
"trial_armAZM",-0.31,-5.91,5.28,0.91
"visitWeek 48",2.9,-1.54,7.34,0.2
"visitWeek 72",1.31,-3.49,6.1,0.59
"abnsatAbnormal Sat",3.43,-5.35,12.21,0.45
"trial_armAZM:visitWeek 48",-10.66,-16.88,-4.45,0
"trial_armAZM:visitWeek 72",-5.31,-12.03,1.42,0.12
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",23.92,19.45,28.4,0
"trial_armAZM",0.01,-5.6,5.63,1
"visitWeek 48",2.6,-1.77,6.98,0.24
"visitWeek 72",1.43,-3.33,6.2,0.56
"vlenrlsup_baseline>=1000 copies",3.9,-0.7,8.49,0.1
"trial_armAZM:visitWeek 48",-10.4,-16.59,-4.22,0
"trial_armAZM:visitWeek 72",-5.47,-12.17,1.23,0.11
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",25.39,21.45,29.33,0
"trial_armAZM",-0.29,-5.86,5.29,0.92
"visitWeek 48",2.47,-1.98,6.92,0.28
"visitWeek 72",0.79,-4.04,5.62,0.75
"abnhrAbnormal HR",5.75,-0.91,12.42,0.09
"trial_armAZM:visitWeek 48",-10.29,-16.52,-4.06,0
"trial_armAZM:visitWeek 72",-4.97,-11.71,1.78,0.15
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",29.15,23.88,34.43,0
"trial_armAZM",-0.04,-5.64,5.56,0.99
"visitWeek 48",2.56,-1.81,6.93,0.25
"visitWeek 72",1.39,-3.36,6.16,0.57
"cd4enrl_baseline",-0.01,-0.01,0,0.06
"trial_armAZM:visitWeek 48",-10.24,-16.4,-4.08,0
"trial_armAZM:visitWeek 72",-5.25,-11.93,1.44,0.13
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",25.32,21.36,29.28,0
"trial_armAZM",-0.45,-6.06,5.17,0.88
"visitWeek 48",2.59,-1.78,6.96,0.25
"visitWeek 72",1.42,-3.34,6.18,0.56
"vlenrl_baseline",0,0,0,0.06
"trial_armAZM:visitWeek 48",-10.39,-16.57,-4.22,0
"trial_armAZM:visitWeek 72",-5.42,-12.11,1.28,0.11
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",27.68,22.14,33.23,0
"trial_armAZM",-0.45,-6.05,5.15,0.88
"visitWeek 48",2.59,-1.78,6.96,0.25
"visitWeek 72",1.32,-3.44,6.09,0.59
"artdrug1stline_baselineyes",-2.61,-7.81,2.58,0.33
"trial_armAZM:visitWeek 48",-10.3,-16.47,-4.15,0
"trial_armAZM:visitWeek 72",-5.28,-11.96,1.42,0.12
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",25.43,21.29,29.57,0
"trial_armAZM",-0.45,-6.05,5.16,0.88
"visitWeek 48",2.59,-1.78,6.96,0.25
"visitWeek 72",1.34,-3.42,6.1,0.58
"artdrug2ndline_baselineyes",1.23,-4.01,6.48,0.65
"trial_armAZM:visitWeek 48",-10.31,-16.47,-4.15,0
"trial_armAZM:visitWeek 72",-5.26,-11.94,1.44,0.12
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",27.24,21.66,32.82,0
"trial_armAZM",-0.11,-5.71,5.49,0.97
"visitWeek 48",3.13,-1.22,7.48,0.16
"visitWeek 72",1.62,-3.11,6.35,0.5
"artreg_baselineEFV/NVP",-2.46,-7.69,2.75,0.36
"trial_armAZM:visitWeek 48",-10.84,-16.97,-4.72,0
"trial_armAZM:visitWeek 72",-5.58,-12.22,1.07,0.1
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",25.62,21.66,29.58,0
"trial_armAZM",-0.44,-6.04,5.17,0.88
"visitWeek 48",2.56,-1.81,6.93,0.25
"visitWeek 72",1.31,-3.45,6.07,0.59
"f14adm_baselineyes",6.81,-11.57,25.2,0.47
"trial_armAZM:visitWeek 48",-10.24,-16.41,-4.08,0
"trial_armAZM:visitWeek 72",-5.13,-11.82,1.57,0.13
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",23.61,19.55,27.67,0
"trial_armAZM",-1.44,-7.03,4.14,0.61
"visitWeek 48",2.52,-1.85,6.89,0.26
"visitWeek 72",1.2,-3.56,5.97,0.62
"f16tbtreat_baselineyes",9.41,4.42,14.39,0
"trial_armAZM:visitWeek 48",-10.21,-16.39,-4.04,0
"trial_armAZM:visitWeek 72",-5.34,-12.03,1.37,0.12
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",21.29,14.69,27.89,0
"trial_armAZM",-0.24,-5.87,5.4,0.93
"visitWeek 48",2.37,-2.06,6.8,0.3
"visitWeek 72",1.04,-3.77,5.85,0.67
"ageyart_baseline",0.48,-0.1,1.06,0.11
"trial_armAZM:visitWeek 48",-10.08,-16.31,-3.86,0
"trial_armAZM:visitWeek 72",-5.03,-11.77,1.73,0.15
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",26.75,20.78,32.72,0
"trial_armAZM",-0.52,-6.13,5.09,0.86
"visitWeek 48",2.34,-2.05,6.73,0.3
"visitWeek 72",0.98,-3.78,5.75,0.69
"duryart_baseline",-0.18,-0.89,0.54,0.62
"trial_armAZM:visitWeek 48",-10.27,-16.44,-4.09,0
"trial_armAZM:visitWeek 72",-5.73,-12.43,0.98,0.09
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",31.79,23.87,39.72,0
"trial_armAZM",-0.37,-5.96,5.23,0.9
"visitWeek 48",2.58,-1.78,6.95,0.25
"visitWeek 72",1.37,-3.38,6.13,0.57
"cd4gp_baseline200+",-6.75,-14.42,0.89,0.08
"trial_armAZM:visitWeek 48",-10.31,-16.47,-4.16,0
"trial_armAZM:visitWeek 72",-5.24,-11.91,1.45,0.13
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",24.28,18.62,29.95,0
"trial_armAZM",-0.02,-5.64,5.61,1
"visitWeek 48",2.58,-1.79,6.95,0.25
"visitWeek 72",1.37,-3.39,6.14,0.57
"agegpsym_baselinea6-<8",-9.21,-24.8,6.38,0.25
"agegpsym_baselineb8-<12",-0.84,-7.79,6.11,0.81
"agegpsym_baselined15-<16",3.6,-4.21,11.41,0.37
"agegpsym_baselinee16+",2.77,-2.93,8.46,0.34
"trial_armAZM:visitWeek 48",-10.27,-16.44,-4.12,0
"trial_armAZM:visitWeek 72",-5.19,-11.87,1.51,0.13
