"beta","X2.5..","X97.5..","pvalue"
"visitWeek 48",-7.8,-12.18,-3.43,0
"visitWeek 72",-4.03,-8.77,0.71,0.1
"zwauk",0.04,-1.48,1.55,0.96
"trial_armPlacebo:visitWeek 48",10.15,3.92,16.38,0
"trial_armPlacebo:visitWeek 72",5.52,-1.23,12.26,0.11
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",26.89,21.13,32.64,0
"trial_armPlacebo",0.32,-5.29,5.93,0.91
"visitWeek 48",-7.92,-12.3,-3.53,0
"visitWeek 72",-4.19,-8.94,0.57,0.09
"zhauk",0.73,-1.19,2.64,0.46
"trial_armPlacebo:visitWeek 48",10.14,3.92,16.38,0
"trial_armPlacebo:visitWeek 72",5.54,-1.21,12.28,0.11
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",30.66,24.99,36.32,0
"trial_armPlacebo",-0.16,-5.78,5.46,0.96
"visitWeek 48",-7.84,-12.14,-3.54,0
"cd4",-0.01,-0.01,0,0.01
"trial_armPlacebo:visitWeek 48",10.29,4.18,16.4,0
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",25.11,21.06,29.16,0
"trial_armPlacebo",0.29,-5.35,5.93,0.92
"visitWeek 48",-7.88,-12.23,-3.52,0
"visitWeek 72",-2.11,-10.84,6.64,0.64
"vload",0,0,0,0.12
"trial_armPlacebo:visitWeek 48",10.51,4.33,16.7,0
"trial_armPlacebo:visitWeek 72",0.13,-12.68,12.92,0.98
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",24.56,20.55,28.56,0
"trial_armPlacebo",-0.18,-5.78,5.42,0.95
"visitWeek 48",-7.71,-12.05,-3.37,0
"visitWeek 72",-3.9,-8.59,0.81,0.1
"acut_exac12myes",7.93,1.29,14.58,0.02
"trial_armPlacebo:visitWeek 48",10.22,4.06,16.38,0
"trial_armPlacebo:visitWeek 72",5.13,-1.56,11.81,0.13
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",25.28,21.3,29.26,0
"trial_armPlacebo",0.35,-5.28,5.97,0.9
"visitWeek 48",-7.73,-12.07,-3.39,0
"visitWeek 72",-3.88,-8.58,0.82,0.11
"hospitalised12myes",2.04,-11.91,16,0.77
"trial_armPlacebo:visitWeek 48",10.32,4.16,16.49,0
"trial_armPlacebo:visitWeek 72",5.24,-1.45,11.93,0.13
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",25.24,21.25,29.23,0
"trial_armPlacebo",0.38,-5.22,5.99,0.89
"visitWeek 48",-7.72,-12.07,-3.38,0
"visitWeek 72",-3.91,-8.6,0.8,0.1
"antibiotic12myes",2.4,-9.87,14.68,0.7
"trial_armPlacebo:visitWeek 48",10.3,4.14,16.46,0
"trial_armPlacebo:visitWeek 72",5.25,-1.45,11.93,0.13
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",24.52,20.5,28.53,0
"trial_armPlacebo",-0.39,-6.01,5.23,0.89
"visitWeek 48",-7.71,-12.06,-3.37,0
"visitWeek 72",-3.91,-8.61,0.79,0.1
"any3_reasons.1yes",7.15,1.05,13.24,0.02
"trial_armPlacebo:visitWeek 48",10.25,4.1,16.42,0
"trial_armPlacebo:visitWeek 72",5.16,-1.53,11.85,0.13
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",19.58,11.45,27.72,0
"trial_armPlacebo",0.5,-5.12,6.12,0.86
"visitWeek 48",-7.64,-12,-3.27,0
"visitWeek 72",-3.76,-8.48,0.97,0.12
"f11cotri_baselineyes",6.3,-1.43,14.03,0.11
"trial_armPlacebo:visitWeek 48",10.22,4.04,16.4,0
"trial_armPlacebo:visitWeek 72",5.19,-1.53,11.9,0.13
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",26.88,21.36,32.4,0
"trial_armPlacebo",0.16,-5.47,5.79,0.96
"visitWeek 48",-7.72,-12.06,-3.38,0
"visitWeek 72",-3.89,-8.58,0.82,0.11
"agegpenrl_baselinea6-9y",-7.29,-15.97,1.38,0.1
"agegpenrl_baselineb10-12y",-3.6,-10.34,3.13,0.3
"agegpenrl_baselinec13-16y",-0.32,-5.78,5.14,0.91
"trial_armPlacebo:visitWeek 48",10.3,4.15,16.47,0
"trial_armPlacebo:visitWeek 72",5.32,-1.37,12,0.12
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",29.08,21.08,37.08,0
"trial_armPlacebo",0.43,-5.17,6.03,0.88
"visitWeek 48",-7.95,-12.29,-3.61,0
"visitWeek 72",-4.7,-9.41,0.03,0.05
"duryartgp_baselineb2-<4y",-6.91,-16.04,2.22,0.14
"duryartgp_baselinec4y-<6y",-1.75,-10.5,7,0.7
"duryartgp_baselined6y+",-4.63,-12.55,3.29,0.26
"trial_armPlacebo:visitWeek 48",10.29,4.12,16.46,0
"trial_armPlacebo:visitWeek 72",5.68,-1.04,12.37,0.1
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",24.54,20.34,28.74,0
"trial_armPlacebo",0.15,-5.45,5.75,0.96
"visitWeek 48",-7.82,-12.18,-3.46,0
"visitWeek 72",-4.07,-8.79,0.65,0.09
"abnrrAbnormal RR",1.95,-1.56,5.46,0.28
"trial_armPlacebo:visitWeek 48",10.68,4.46,16.9,0
"trial_armPlacebo:visitWeek 72",5.31,-1.42,12.04,0.12
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",25.19,21.2,29.17,0
"trial_armPlacebo",0.31,-5.28,5.91,0.91
"visitWeek 48",-7.76,-12.12,-3.41,0
"visitWeek 72",-4,-8.72,0.72,0.1
"abnsatAbnormal Sat",3.43,-5.35,12.21,0.45
"trial_armPlacebo:visitWeek 48",10.66,4.45,16.88,0
"trial_armPlacebo:visitWeek 72",5.31,-1.42,12.03,0.12
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",23.93,19.5,28.37,0
"trial_armPlacebo",-0.01,-5.63,5.6,1
"visitWeek 48",-7.8,-12.16,-3.43,0
"visitWeek 72",-4.04,-8.75,0.68,0.09
"vlenrlsup_baseline>=1000 copies",3.9,-0.7,8.49,0.1
"trial_armPlacebo:visitWeek 48",10.4,4.22,16.59,0
"trial_armPlacebo:visitWeek 72",5.47,-1.23,12.17,0.11
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",25.1,21.13,29.06,0
"trial_armPlacebo",0.29,-5.29,5.86,0.92
"visitWeek 48",-7.82,-12.18,-3.46,0
"visitWeek 72",-4.18,-8.9,0.55,0.08
"abnhrAbnormal HR",5.75,-0.91,12.42,0.09
"trial_armPlacebo:visitWeek 48",10.29,4.06,16.52,0
"trial_armPlacebo:visitWeek 72",4.97,-1.78,11.71,0.15
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",29.12,23.55,34.69,0
"trial_armPlacebo",0.04,-5.56,5.64,0.99
"visitWeek 48",-7.68,-12.02,-3.34,0
"visitWeek 72",-3.86,-8.55,0.85,0.11
"cd4enrl_baseline",-0.01,-0.01,0,0.06
"trial_armPlacebo:visitWeek 48",10.24,4.08,16.4,0
"trial_armPlacebo:visitWeek 72",5.25,-1.44,11.93,0.13
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",24.87,20.81,28.93,0
"trial_armPlacebo",0.45,-5.17,6.06,0.88
"visitWeek 48",-7.81,-12.17,-3.45,0
"visitWeek 72",-4,-8.7,0.72,0.1
"vlenrl_baseline",0,0,0,0.06
"trial_armPlacebo:visitWeek 48",10.39,4.22,16.57,0
"trial_armPlacebo:visitWeek 72",5.42,-1.28,12.11,0.11
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",27.23,21.71,32.76,0
"trial_armPlacebo",0.45,-5.15,6.05,0.88
"visitWeek 48",-7.71,-12.06,-3.37,0
"visitWeek 72",-3.95,-8.65,0.75,0.1
"artdrug1stline_baselineyes",-2.61,-7.81,2.58,0.33
"trial_armPlacebo:visitWeek 48",10.3,4.15,16.47,0
"trial_armPlacebo:visitWeek 72",5.28,-1.42,11.96,0.12
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",24.98,20.77,29.19,0
"trial_armPlacebo",0.45,-5.16,6.05,0.88
"visitWeek 48",-7.72,-12.06,-3.38,0
"visitWeek 72",-3.92,-8.62,0.79,0.1
"artdrug2ndline_baselineyes",1.23,-4.01,6.48,0.65
"trial_armPlacebo:visitWeek 48",10.31,4.15,16.47,0
"trial_armPlacebo:visitWeek 72",5.26,-1.44,11.94,0.12
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",27.12,21.59,32.66,0
"trial_armPlacebo",0.11,-5.49,5.71,0.97
"visitWeek 48",-7.71,-12.02,-3.4,0
"visitWeek 72",-3.96,-8.62,0.71,0.1
"artreg_baselineEFV/NVP",-2.46,-7.69,2.75,0.36
"trial_armPlacebo:visitWeek 48",10.84,4.72,16.97,0
"trial_armPlacebo:visitWeek 72",5.58,-1.07,12.22,0.1
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",25.18,21.19,29.17,0
"trial_armPlacebo",0.44,-5.17,6.04,0.88
"visitWeek 48",-7.68,-12.03,-3.34,0
"visitWeek 72",-3.82,-8.52,0.89,0.11
"f14adm_baselineyes",6.81,-11.57,25.2,0.47
"trial_armPlacebo:visitWeek 48",10.24,4.08,16.41,0
"trial_armPlacebo:visitWeek 72",5.13,-1.57,11.82,0.13
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",22.16,17.86,26.47,0
"trial_armPlacebo",1.44,-4.14,7.03,0.61
"visitWeek 48",-7.7,-12.06,-3.34,0
"visitWeek 72",-4.13,-8.85,0.59,0.09
"f16tbtreat_baselineyes",9.41,4.42,14.39,0
"trial_armPlacebo:visitWeek 48",10.21,4.04,16.39,0
"trial_armPlacebo:visitWeek 72",5.34,-1.37,12.03,0.12
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",21.05,14.84,27.27,0
"trial_armPlacebo",0.24,-5.4,5.87,0.93
"visitWeek 48",-7.71,-12.09,-3.34,0
"visitWeek 72",-3.98,-8.72,0.76,0.1
"ageyart_baseline",0.48,-0.1,1.06,0.11
"trial_armPlacebo:visitWeek 48",10.08,3.86,16.31,0
"trial_armPlacebo:visitWeek 72",5.03,-1.73,11.77,0.15
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",26.23,20.19,32.26,0
"trial_armPlacebo",0.52,-5.09,6.13,0.86
"visitWeek 48",-7.93,-12.27,-3.59,0
"visitWeek 72",-4.75,-9.46,-0.03,0.05
"duryart_baseline",-0.18,-0.89,0.54,0.62
"trial_armPlacebo:visitWeek 48",10.27,4.09,16.44,0
"trial_armPlacebo:visitWeek 72",5.73,-0.98,12.43,0.09
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",31.42,23.44,39.41,0
"trial_armPlacebo",0.37,-5.23,5.96,0.9
"visitWeek 48",-7.73,-12.07,-3.39,0
"visitWeek 72",-3.86,-8.55,0.84,0.11
"cd4gp_baseline200+",-6.75,-14.42,0.89,0.08
"trial_armPlacebo:visitWeek 48",10.31,4.16,16.47,0
"trial_armPlacebo:visitWeek 72",5.24,-1.45,11.91,0.13
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",24.27,18.94,29.59,0
"trial_armPlacebo",0.02,-5.61,5.64,1
"visitWeek 48",-7.7,-12.04,-3.36,0
"visitWeek 72",-3.82,-8.5,0.9,0.11
"agegpsym_baselinea6-<8",-9.21,-24.8,6.38,0.25
"agegpsym_baselineb8-<12",-0.84,-7.79,6.11,0.81
"agegpsym_baselined15-<16",3.6,-4.21,11.41,0.37
"agegpsym_baselinee16+",2.77,-2.93,8.46,0.34
"trial_armPlacebo:visitWeek 48",10.27,4.12,16.44,0
"trial_armPlacebo:visitWeek 72",5.19,-1.51,11.87,0.13
