"beta","X2.5..","X97.5..","pvalue"
"visitWeek 72",-0.78,-2.7,1.14,0.43
"FVCpcpred",0.03,-0.03,0.09,0.36
"trial_armPlacebo:visitWeek 48",-2.25,-4.78,0.28,0.08
"trial_armPlacebo:visitWeek 72",-0.09,-2.84,2.65,0.95
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",4.37,-0.42,9.18,0.07
"trial_armPlacebo",0.42,-1.63,2.47,0.69
"visitWeek 48",0.54,-1.25,2.32,0.56
"visitWeek 72",-0.88,-2.82,1.05,0.37
"FEVpcpred",0.07,0,0.13,0.04
"trial_armPlacebo:visitWeek 48",-2.14,-4.68,0.4,0.1
"trial_armPlacebo:visitWeek 72",-0.21,-2.96,2.53,0.88
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",9.15,7.5,10.79,0
"trial_armPlacebo",0.45,-1.61,2.52,0.67
"visitWeek 48",0.66,-1.11,2.42,0.47
"visitWeek 72",-0.91,-2.82,0.99,0.35
"zbmiuk",-0.12,-0.77,0.52,0.71
"trial_armPlacebo:visitWeek 48",-2.23,-4.74,0.29,0.08
"trial_armPlacebo:visitWeek 72",-0.06,-2.77,2.65,0.97
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",9.69,7.8,11.57,0
"trial_armPlacebo",0.4,-1.66,2.46,0.71
"visitWeek 48",0.63,-1.13,2.4,0.48
"visitWeek 72",-0.93,-2.84,0.97,0.34
"zwauk",0.18,-0.36,0.71,0.52
"trial_armPlacebo:visitWeek 48",-2.22,-4.74,0.29,0.08
"trial_armPlacebo:visitWeek 72",-0.02,-2.73,2.7,0.99
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",9.96,7.89,12.02,0
"trial_armPlacebo",0.39,-1.67,2.45,0.71
"visitWeek 48",0.61,-1.16,2.37,0.5
"visitWeek 72",-0.98,-2.89,0.93,0.32
"zhauk",0.31,-0.36,0.98,0.37
"trial_armPlacebo:visitWeek 48",-2.23,-4.74,0.28,0.08
"trial_armPlacebo:visitWeek 72",-0.03,-2.74,2.68,0.98
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",9.1,7.03,11.17,0
"trial_armPlacebo",0.47,-1.59,2.53,0.66
"visitWeek 48",0.53,-1.22,2.29,0.55
"cd4",0,0,0,0.81
"trial_armPlacebo:visitWeek 48",-2.27,-4.76,0.22,0.08
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",9.05,7.56,10.55,0
"trial_armPlacebo",0.65,-1.43,2.73,0.54
"visitWeek 48",0.78,-1,2.56,0.39
"visitWeek 72",-2,-5.51,1.5,0.26
"vload",0,0,0,0.52
"trial_armPlacebo:visitWeek 48",-2.46,-4.98,0.06,0.06
"trial_armPlacebo:visitWeek 72",1.7,-3.43,6.84,0.52
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",9.3,7.82,10.77,0
"trial_armPlacebo",0.43,-1.63,2.5,0.68
"visitWeek 48",0.68,-1.07,2.44,0.45
"visitWeek 72",-0.95,-2.84,0.94,0.33
"acut_exac12myes",-0.08,-2.38,2.21,0.94
"trial_armPlacebo:visitWeek 48",-2.27,-4.76,0.22,0.08
"trial_armPlacebo:visitWeek 72",-0.06,-2.76,2.63,0.96
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",9.32,7.86,10.78,0
"trial_armPlacebo",0.53,-1.53,2.59,0.62
"visitWeek 48",0.68,-1.07,2.44,0.45
"visitWeek 72",-0.95,-2.84,0.94,0.32
"hospitalised12myes",-2.85,-7.68,1.98,0.25
"trial_armPlacebo:visitWeek 48",-2.3,-4.78,0.19,0.07
"trial_armPlacebo:visitWeek 72",-0.07,-2.76,2.62,0.96
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",9.26,7.79,10.72,0
"trial_armPlacebo",0.41,-1.65,2.47,0.7
"visitWeek 48",0.68,-1.07,2.44,0.45
"visitWeek 72",-0.96,-2.85,0.93,0.32
"antibiotic12myes",1.22,-2.99,5.43,0.57
"trial_armPlacebo:visitWeek 48",-2.28,-4.77,0.21,0.07
"trial_armPlacebo:visitWeek 72",-0.06,-2.75,2.63,0.96
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",9.42,7.94,10.9,0
"trial_armPlacebo",0.56,-1.51,2.63,0.6
"visitWeek 48",0.68,-1.07,2.43,0.45
"visitWeek 72",-0.94,-2.83,0.95,0.33
"any3_reasons.1yes",-1.19,-3.3,0.92,0.27
"trial_armPlacebo:visitWeek 48",-2.26,-4.74,0.23,0.08
"trial_armPlacebo:visitWeek 72",-0.05,-2.74,2.64,0.97
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",10.6,7.77,13.44,0
"trial_armPlacebo",0.47,-1.59,2.53,0.66
"visitWeek 48",0.71,-1.06,2.47,0.43
"visitWeek 72",-0.91,-2.81,0.99,0.35
"f11cotri_baselineyes",-1.52,-4.16,1.13,0.26
"trial_armPlacebo:visitWeek 48",-2.29,-4.79,0.2,0.07
"trial_armPlacebo:visitWeek 72",-0.13,-2.82,2.57,0.93
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",8.88,6.9,10.85,0
"trial_armPlacebo",0.5,-1.57,2.57,0.64
"visitWeek 48",0.68,-1.07,2.43,0.45
"visitWeek 72",-0.95,-2.85,0.94,0.33
"agegpenrl_baselinea6-9y",0.2,-2.8,3.21,0.89
"agegpenrl_baselineb10-12y",0.59,-1.74,2.92,0.62
"agegpenrl_baselinec13-16y",0.59,-1.3,2.48,0.54
"trial_armPlacebo:visitWeek 48",-2.27,-4.76,0.21,0.07
"trial_armPlacebo:visitWeek 72",-0.07,-2.76,2.63,0.96
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",9.71,6.84,12.57,0
"trial_armPlacebo",0.65,-1.45,2.74,0.55
"visitWeek 48",0.89,-0.89,2.66,0.33
"visitWeek 72",-0.66,-2.59,1.25,0.5
"duryartgp_baselineb2-<4y",-0.29,-3.51,2.94,0.86
"duryartgp_baselinec4y-<6y",-0.3,-3.39,2.79,0.85
"duryartgp_baselined6y+",-0.85,-3.65,1.95,0.55
"trial_armPlacebo:visitWeek 48",-2.58,-5.1,-0.06,0.05
"trial_armPlacebo:visitWeek 72",-0.29,-3.02,2.44,0.84
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",9.51,7.95,11.06,0
"trial_armPlacebo",0.5,-1.57,2.56,0.64
"visitWeek 48",0.66,-1.11,2.42,0.47
"visitWeek 72",-0.9,-2.81,1,0.35
"abnrrAbnormal RR",-0.56,-1.89,0.77,0.41
"trial_armPlacebo:visitWeek 48",-2.34,-4.86,0.17,0.07
"trial_armPlacebo:visitWeek 72",-0.01,-2.72,2.71,1
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",9.34,7.87,10.81,0
"trial_armPlacebo",0.45,-1.61,2.51,0.67
"visitWeek 48",0.64,-1.13,2.4,0.48
"visitWeek 72",-0.93,-2.83,0.97,0.34
"abnsatAbnormal Sat",-1.49,-4.96,1.97,0.4
"trial_armPlacebo:visitWeek 48",-2.36,-4.87,0.16,0.07
"trial_armPlacebo:visitWeek 72",-0.01,-2.72,2.71,1
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",9.27,7.8,10.73,0
"trial_armPlacebo",0.43,-1.63,2.49,0.68
"visitWeek 48",0.65,-1.11,2.42,0.47
"visitWeek 72",-0.93,-2.84,0.97,0.34
"abnhrAbnormal HR",0.62,-1.95,3.18,0.64
"trial_armPlacebo:visitWeek 48",-2.34,-4.86,0.18,0.07
"trial_armPlacebo:visitWeek 72",-0.03,-2.74,2.69,0.99
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",9.15,7.16,11.14,0
"trial_armPlacebo",0.44,-1.62,2.5,0.68
"visitWeek 48",0.68,-1.07,2.43,0.45
"visitWeek 72",-0.95,-2.84,0.94,0.33
"cd4enrl_baseline",0,0,0,0.84
"trial_armPlacebo:visitWeek 48",-2.27,-4.76,0.22,0.08
"trial_armPlacebo:visitWeek 72",-0.07,-2.76,2.63,0.96
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",9.09,7.61,10.58,0
"trial_armPlacebo",0.6,-1.46,2.66,0.57
"visitWeek 48",0.72,-1.05,2.48,0.43
"visitWeek 72",-0.86,-2.75,1.04,0.38
"vlenrl_baseline",0,0,0,0.7
"trial_armPlacebo:visitWeek 48",-2.3,-4.8,0.19,0.07
"trial_armPlacebo:visitWeek 72",-0.15,-2.84,2.55,0.91
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",8.48,6.51,10.44,0
"trial_armPlacebo",0.41,-1.64,2.47,0.69
"visitWeek 48",0.67,-1.08,2.43,0.45
"visitWeek 72",-0.91,-2.8,0.98,0.35
"artdrug1stline_baselineyes",1.1,-0.69,2.88,0.23
"trial_armPlacebo:visitWeek 48",-2.27,-4.75,0.22,0.08
"trial_armPlacebo:visitWeek 72",-0.09,-2.78,2.6,0.95
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",9.55,8.02,11.08,0
"trial_armPlacebo",0.4,-1.65,2.46,0.7
"visitWeek 48",0.68,-1.08,2.43,0.45
"visitWeek 72",-0.91,-2.81,0.98,0.35
"artdrug2ndline_baselineyes",-0.99,-2.79,0.81,0.28
"trial_armPlacebo:visitWeek 48",-2.27,-4.76,0.22,0.08
"trial_armPlacebo:visitWeek 72",-0.08,-2.77,2.61,0.95
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",8.46,6.49,10.43,0
"trial_armPlacebo",0.47,-1.59,2.52,0.66
"visitWeek 48",0.67,-1.07,2.42,0.45
"visitWeek 72",-0.91,-2.8,0.98,0.35
"artreg_baselineEFV/NVP",1.12,-0.67,2.92,0.22
"trial_armPlacebo:visitWeek 48",-2.41,-4.9,0.07,0.06
"trial_armPlacebo:visitWeek 72",-0.15,-2.84,2.53,0.91
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",9.33,7.86,10.79,0
"trial_armPlacebo",0.42,-1.64,2.47,0.69
"visitWeek 48",0.67,-1.09,2.42,0.46
"visitWeek 72",-0.97,-2.87,0.92,0.32
"f14adm_baselineyes",-2.08,-8.51,4.35,0.53
"trial_armPlacebo:visitWeek 48",-2.24,-4.73,0.25,0.08
"trial_armPlacebo:visitWeek 72",-0.03,-2.72,2.67,0.99
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",9.46,7.88,11.04,0
"trial_armPlacebo",0.37,-1.7,2.44,0.73
"visitWeek 48",0.58,-1.18,2.34,0.52
"visitWeek 72",-0.89,-2.79,1,0.36
"f16tbtreat_baselineyes",-0.53,-2.28,1.21,0.55
"trial_armPlacebo:visitWeek 48",-2.16,-4.65,0.33,0.09
"trial_armPlacebo:visitWeek 72",-0.11,-2.8,2.59,0.94
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",8.25,6.01,10.49,0
"trial_armPlacebo",0.6,-1.5,2.69,0.58
"visitWeek 48",0.91,-0.86,2.68,0.31
"visitWeek 72",-0.68,-2.59,1.23,0.49
"ageyart_baseline",0.11,-0.1,0.31,0.32
"trial_armPlacebo:visitWeek 48",-2.61,-5.13,-0.09,0.04
"trial_armPlacebo:visitWeek 72",-0.27,-2.99,2.46,0.85
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",10.36,8.18,12.53,0
"trial_armPlacebo",0.61,-1.48,2.7,0.57
"visitWeek 48",0.88,-0.89,2.66,0.33
"visitWeek 72",-0.67,-2.59,1.25,0.5
"duryart_baseline",-0.19,-0.44,0.06,0.15
"trial_armPlacebo:visitWeek 48",-2.57,-5.1,-0.05,0.05
"trial_armPlacebo:visitWeek 72",-0.29,-3.02,2.44,0.84
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",9.01,6.21,11.81,0
"trial_armPlacebo",0.43,-1.63,2.48,0.68
"visitWeek 48",0.68,-1.07,2.44,0.45
"visitWeek 72",-0.95,-2.84,0.94,0.33
"cd4gp_baseline200+",0.31,-2.33,2.96,0.82
"trial_armPlacebo:visitWeek 48",-2.27,-4.76,0.22,0.07
"trial_armPlacebo:visitWeek 72",-0.07,-2.76,2.63,0.96
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",9.63,7.72,11.54,0
"trial_armPlacebo",0.5,-1.57,2.56,0.64
"visitWeek 48",0.68,-1.08,2.43,0.45
"visitWeek 72",-0.95,-2.84,0.94,0.33
"agegpsym_baselinea6-<8",-0.49,-5.89,4.91,0.86
"agegpsym_baselineb8-<12",-0.39,-2.8,2.01,0.75
"agegpsym_baselined15-<16",-0.18,-2.89,2.53,0.9
"agegpsym_baselinee16+",-0.67,-2.64,1.31,0.51
"trial_armPlacebo:visitWeek 48",-2.27,-4.76,0.22,0.08
"trial_armPlacebo:visitWeek 72",-0.06,-2.75,2.64,0.97
