"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",4.92,4.8,5.04,0
"trial_armPlacebo",0.05,-0.12,0.22,0.54
"visitWeek 48",-0.3,-0.44,-0.16,0
"visitWeek 72",-0.02,-0.17,0.13,0.821
"hospitalised12myes",0.13,-0.28,0.53,0.535
"trial_armPlacebo:visitWeek 48",0.44,0.25,0.64,0
"trial_armPlacebo:visitWeek 72",0.13,-0.09,0.34,0.243
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",4.93,4.81,5.05,0
"trial_armPlacebo",0.06,-0.11,0.23,0.483
"visitWeek 48",-0.3,-0.44,-0.16,0
"visitWeek 72",-0.02,-0.17,0.14,0.837
"antibiotic12myes",-0.2,-0.56,0.15,0.262
"trial_armPlacebo:visitWeek 48",0.44,0.25,0.64,0
"trial_armPlacebo:visitWeek 72",0.13,-0.09,0.34,0.247
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",4.91,4.79,5.03,0
"trial_armPlacebo",0.05,-0.12,0.22,0.586
"visitWeek 48",-0.3,-0.44,-0.16,0
"visitWeek 72",-0.02,-0.17,0.13,0.813
"any3_reasons1yes",0.09,-0.09,0.27,0.311
"trial_armPlacebo:visitWeek 48",0.44,0.24,0.64,0
"trial_armPlacebo:visitWeek 72",0.13,-0.09,0.34,0.248
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",5.1,4.86,5.34,0
"trial_armPlacebo",0.05,-0.12,0.22,0.581
"visitWeek 48",-0.31,-0.45,-0.17,0
"visitWeek 72",-0.02,-0.17,0.13,0.803
"f11cotri_baselineyes",-0.18,-0.41,0.04,0.107
"trial_armPlacebo:visitWeek 48",0.45,0.25,0.65,0
"trial_armPlacebo:visitWeek 72",0.13,-0.09,0.34,0.248
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",5.01,4.85,5.18,0
"trial_armPlacebo",0.04,-0.13,0.21,0.614
"visitWeek 48",-0.3,-0.44,-0.16,0
"visitWeek 72",-0.02,-0.17,0.13,0.819
"agegpenrl_baselinea6-9y",-0.09,-0.34,0.15,0.458
"agegpenrl_baselineb10-12y",-0.3,-0.49,-0.1,0.003
"agegpenrl_baselinec13-16y",-0.05,-0.21,0.11,0.535
"trial_armPlacebo:visitWeek 48",0.45,0.25,0.65,0
"trial_armPlacebo:visitWeek 72",0.14,-0.08,0.35,0.219
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",4.81,4.58,5.05,0
"trial_armPlacebo",0.08,-0.1,0.25,0.391
"visitWeek 48",-0.32,-0.46,-0.18,0
"visitWeek 72",-0.03,-0.18,0.13,0.716
"duryartgp_baselineb2-<4y",0.17,-0.1,0.43,0.232
"duryartgp_baselinec4y-<6y",0.12,-0.13,0.38,0.347
"duryartgp_baselined6y+",0.11,-0.13,0.34,0.372
"trial_armPlacebo:visitWeek 48",0.43,0.23,0.63,0
"trial_armPlacebo:visitWeek 72",0.12,-0.1,0.33,0.296
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",4.99,4.85,5.12,0
"trial_armPlacebo",0.05,-0.12,0.22,0.596
"visitWeek 48",-0.3,-0.44,-0.16,0
"visitWeek 72",-0.02,-0.17,0.13,0.782
"abnrrNot abnormal",-0.1,-0.21,0,0.059
"trial_armPlacebo:visitWeek 48",0.45,0.25,0.65,0
"trial_armPlacebo:visitWeek 72",0.13,-0.09,0.35,0.246
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",5.2,4.91,5.49,0
"trial_armPlacebo",0.05,-0.12,0.22,0.534
"visitWeek 48",-0.3,-0.44,-0.16,0
"visitWeek 72",-0.02,-0.17,0.13,0.828
"abnsatNot abnormal",-0.29,-0.57,-0.01,0.044
"trial_armPlacebo:visitWeek 48",0.45,0.25,0.65,0
"trial_armPlacebo:visitWeek 72",0.13,-0.09,0.34,0.246
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",5.05,4.82,5.28,0
"trial_armPlacebo",0.06,-0.11,0.22,0.52
"visitWeek 48",-0.3,-0.44,-0.16,0
"visitWeek 72",-0.02,-0.18,0.13,0.769
"abnhrNot abnormal",-0.13,-0.34,0.08,0.221
"trial_armPlacebo:visitWeek 48",0.44,0.23,0.64,0
"trial_armPlacebo:visitWeek 72",0.12,-0.1,0.34,0.281
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",4.92,4.8,5.04,0
"trial_armPlacebo",0.05,-0.12,0.22,0.54
"visitWeek 48",-0.31,-0.45,-0.17,0
"visitWeek 72",-0.02,-0.18,0.13,0.758
"vlenrl_baseline",0,0,0,0.174
"trial_armPlacebo:visitWeek 48",0.45,0.25,0.65,0
"trial_armPlacebo:visitWeek 72",0.14,-0.08,0.35,0.216
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",4.9,4.76,5.03,0
"trial_armPlacebo",0.04,-0.13,0.21,0.616
"visitWeek 48",-0.31,-0.45,-0.17,0
"visitWeek 72",-0.02,-0.18,0.13,0.748
"vlsup_regUnsuppresed",0.09,-0.04,0.22,0.189
"trial_armPlacebo:visitWeek 48",0.45,0.25,0.65,0
"trial_armPlacebo:visitWeek 72",0.14,-0.08,0.35,0.211
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",5.02,4.86,5.18,0
"trial_armPlacebo",0.06,-0.11,0.23,0.492
"visitWeek 48",-0.3,-0.44,-0.16,0
"visitWeek 72",-0.02,-0.17,0.13,0.778
"artdrug1stline_baselineyes",-0.13,-0.28,0.02,0.094
"trial_armPlacebo:visitWeek 48",0.44,0.24,0.64,0
"trial_armPlacebo:visitWeek 72",0.13,-0.08,0.35,0.235
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",4.92,4.8,5.05,0
"trial_armPlacebo",0.06,-0.11,0.23,0.506
"visitWeek 48",-0.31,-0.45,-0.17,0
"visitWeek 72",-0.02,-0.17,0.13,0.81
"f14adm_baselineyes",-0.08,-0.62,0.46,0.769
"trial_armPlacebo:visitWeek 48",0.44,0.25,0.64,0
"trial_armPlacebo:visitWeek 72",0.13,-0.09,0.35,0.239
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",4.83,4.7,4.96,0
"trial_armPlacebo",0.09,-0.08,0.26,0.312
"visitWeek 48",-0.3,-0.44,-0.16,0
"visitWeek 72",-0.03,-0.18,0.13,0.747
"f16tbtreat_baselineyes",0.28,0.13,0.42,0
"trial_armPlacebo:visitWeek 48",0.44,0.24,0.64,0
"trial_armPlacebo:visitWeek 72",0.13,-0.08,0.35,0.232
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",4.81,4.62,4.99,0
"trial_armPlacebo",0.06,-0.11,0.23,0.499
"visitWeek 48",-0.32,-0.46,-0.18,0
"visitWeek 72",-0.02,-0.17,0.13,0.793
"ageyart_baseline",0.01,0,0.03,0.103
"trial_armPlacebo:visitWeek 48",0.43,0.23,0.63,0
"trial_armPlacebo:visitWeek 72",0.11,-0.11,0.33,0.315
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",4.94,4.76,5.12,0
"trial_armPlacebo",0.07,-0.1,0.24,0.42
"visitWeek 48",-0.32,-0.46,-0.18,0
"visitWeek 72",-0.03,-0.18,0.13,0.728
"duryart_baseline",0,-0.02,0.02,0.817
"trial_armPlacebo:visitWeek 48",0.43,0.23,0.63,0
"trial_armPlacebo:visitWeek 72",0.12,-0.1,0.33,0.298
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",4.97,4.74,5.21,0
"trial_armPlacebo",0.06,-0.11,0.23,0.507
"visitWeek 48",-0.3,-0.44,-0.16,0
"visitWeek 72",-0.02,-0.17,0.13,0.821
"cd4gp_baseline200+",-0.05,-0.28,0.17,0.642
"trial_armPlacebo:visitWeek 48",0.44,0.24,0.64,0
"trial_armPlacebo:visitWeek 72",0.13,-0.09,0.34,0.244
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",4.89,4.73,5.04,0
"trial_armPlacebo",0.04,-0.13,0.21,0.643
"visitWeek 48",-0.31,-0.45,-0.17,0
"visitWeek 72",-0.02,-0.17,0.13,0.821
"agegpsym_baselinea6-<8",-0.02,-0.47,0.43,0.918
"agegpsym_baselineb8-<12",-0.1,-0.3,0.1,0.327
"agegpsym_baselined15-<16",0.23,0,0.45,0.051
"agegpsym_baselinee16+",0.08,-0.08,0.25,0.323
"trial_armPlacebo:visitWeek 48",0.45,0.25,0.65,0
"trial_armPlacebo:visitWeek 72",0.13,-0.08,0.35,0.228
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",5.03,4.89,5.16,0
"trial_armPlacebo",0.05,-0.12,0.22,0.579
"visitWeek 48",-0.3,-0.44,-0.16,0
"visitWeek 72",-0.02,-0.17,0.13,0.789
"mrcgr1_baseline",-0.22,-0.35,-0.09,0.001
"trial_armPlacebo:visitWeek 48",0.44,0.24,0.64,0
"trial_armPlacebo:visitWeek 72",0.13,-0.08,0.35,0.233
