"beta","X2.5..","X97.5..","pvalue"
"visitWeek 72",0.09,-0.07,0.24,0.267
"duryartgp_baselineb2-<4y",0.17,-0.1,0.43,0.232
"duryartgp_baselinec4y-<6y",0.12,-0.13,0.38,0.347
"duryartgp_baselined6y+",0.11,-0.13,0.34,0.372
"trial_armAZM:visitWeek 48",-0.43,-0.63,-0.23,0
"trial_armAZM:visitWeek 72",-0.12,-0.33,0.1,0.296
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",5.03,4.9,5.16,0
"trial_armAZM",-0.05,-0.22,0.12,0.596
"visitWeek 48",0.15,0,0.29,0.044
"visitWeek 72",0.11,-0.05,0.26,0.175
"abnrrNot abnormal",-0.1,-0.21,0,0.059
"trial_armAZM:visitWeek 48",-0.45,-0.65,-0.25,0
"trial_armAZM:visitWeek 72",-0.13,-0.35,0.09,0.246
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",5.25,4.96,5.54,0
"trial_armAZM",-0.05,-0.22,0.12,0.534
"visitWeek 48",0.15,0.01,0.3,0.037
"visitWeek 72",0.11,-0.04,0.27,0.157
"abnsatNot abnormal",-0.29,-0.57,-0.01,0.044
"trial_armAZM:visitWeek 48",-0.45,-0.65,-0.25,0
"trial_armAZM:visitWeek 72",-0.13,-0.34,0.09,0.246
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",5.1,4.87,5.34,0
"trial_armAZM",-0.06,-0.22,0.11,0.52
"visitWeek 48",0.14,-0.01,0.28,0.065
"visitWeek 72",0.1,-0.06,0.25,0.224
"abnhrNot abnormal",-0.13,-0.34,0.08,0.221
"trial_armAZM:visitWeek 48",-0.44,-0.64,-0.23,0
"trial_armAZM:visitWeek 72",-0.12,-0.34,0.1,0.281
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",4.97,4.85,5.09,0
"trial_armAZM",-0.05,-0.22,0.12,0.54
"visitWeek 48",0.14,0,0.28,0.054
"visitWeek 72",0.11,-0.04,0.27,0.151
"vlenrl_baseline",0,0,0,0.174
"trial_armAZM:visitWeek 48",-0.45,-0.65,-0.25,0
"trial_armAZM:visitWeek 72",-0.14,-0.35,0.08,0.216
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",4.94,4.81,5.07,0
"trial_armAZM",-0.04,-0.21,0.13,0.616
"visitWeek 48",0.14,0,0.28,0.053
"visitWeek 72",0.11,-0.04,0.27,0.149
"vlsup_regUnsuppresed",0.09,-0.04,0.22,0.189
"trial_armAZM:visitWeek 48",-0.45,-0.65,-0.25,0
"trial_armAZM:visitWeek 72",-0.14,-0.35,0.08,0.211
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",5.08,4.91,5.24,0
"trial_armAZM",-0.06,-0.23,0.11,0.492
"visitWeek 48",0.14,0,0.28,0.053
"visitWeek 72",0.11,-0.04,0.26,0.164
"artdrug1stline_baselineyes",-0.13,-0.28,0.02,0.094
"trial_armAZM:visitWeek 48",-0.44,-0.64,-0.24,0
"trial_armAZM:visitWeek 72",-0.13,-0.35,0.08,0.235
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",4.98,4.86,5.1,0
"trial_armAZM",-0.06,-0.23,0.11,0.506
"visitWeek 48",0.14,0,0.28,0.054
"visitWeek 72",0.11,-0.04,0.26,0.157
"f14adm_baselineyes",-0.08,-0.62,0.46,0.769
"trial_armAZM:visitWeek 48",-0.44,-0.64,-0.25,0
"trial_armAZM:visitWeek 72",-0.13,-0.35,0.09,0.239
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",4.92,4.8,5.04,0
"trial_armAZM",-0.09,-0.26,0.08,0.312
"visitWeek 48",0.14,0,0.28,0.056
"visitWeek 72",0.11,-0.05,0.26,0.173
"f16tbtreat_baselineyes",0.28,0.13,0.42,0
"trial_armAZM:visitWeek 48",-0.44,-0.64,-0.24,0
"trial_armAZM:visitWeek 72",-0.13,-0.35,0.08,0.232
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",4.87,4.67,5.06,0
"trial_armAZM",-0.06,-0.23,0.11,0.499
"visitWeek 48",0.11,-0.03,0.25,0.131
"visitWeek 72",0.09,-0.06,0.25,0.25
"ageyart_baseline",0.01,0,0.03,0.103
"trial_armAZM:visitWeek 48",-0.43,-0.63,-0.23,0
"trial_armAZM:visitWeek 72",-0.11,-0.33,0.11,0.315
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",5.01,4.83,5.19,0
"trial_armAZM",-0.07,-0.24,0.1,0.42
"visitWeek 48",0.11,-0.03,0.25,0.136
"visitWeek 72",0.09,-0.07,0.24,0.263
"duryart_baseline",0,-0.02,0.02,0.817
"trial_armAZM:visitWeek 48",-0.43,-0.63,-0.23,0
"trial_armAZM:visitWeek 72",-0.12,-0.33,0.1,0.298
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",5.03,4.8,5.26,0
"trial_armAZM",-0.06,-0.23,0.11,0.507
"visitWeek 48",0.14,0,0.28,0.054
"visitWeek 72",0.11,-0.04,0.26,0.158
"cd4gp_baseline200+",-0.05,-0.28,0.17,0.642
"trial_armAZM:visitWeek 48",-0.44,-0.64,-0.24,0
"trial_armAZM:visitWeek 72",-0.13,-0.34,0.09,0.244
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",4.93,4.76,5.09,0
"trial_armAZM",-0.04,-0.21,0.13,0.643
"visitWeek 48",0.14,0,0.28,0.052
"visitWeek 72",0.12,-0.04,0.27,0.141
"agegpsym_baselinea6-<8",-0.02,-0.47,0.43,0.918
"agegpsym_baselineb8-<12",-0.1,-0.3,0.1,0.327
"agegpsym_baselined15-<16",0.23,0,0.45,0.051
"agegpsym_baselinee16+",0.08,-0.08,0.25,0.323
"trial_armAZM:visitWeek 48",-0.45,-0.65,-0.25,0
"trial_armAZM:visitWeek 72",-0.13,-0.35,0.08,0.228
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",5.08,4.95,5.21,0
"trial_armAZM",-0.05,-0.22,0.12,0.579
"visitWeek 48",0.14,0,0.28,0.053
"visitWeek 72",0.11,-0.04,0.26,0.159
"mrcgr1_baseline",-0.22,-0.35,-0.09,0.001
"trial_armAZM:visitWeek 48",-0.44,-0.64,-0.24,0
"trial_armAZM:visitWeek 72",-0.13,-0.35,0.08,0.233
